Country name,MedianAnnual cropsMammals,lower 95%Annual cropsMammals,upper 95%Annual cropsMammals,MedianPermanent cropsMammals,lower 95%Permanent cropsMammals,upper 95%Permanent cropsMammals,MedianPastureMammals,lower 95%PastureMammals,upper 95%PastureMammals,MedianUrbanMammals,lower 95%UrbanMammals,upper 95%UrbanMammals,MedianExtensive forestryMammals,lower 95%Extensive forestryMammals,upper 95%Extensive forestryMammals,MedianIntensive forestryMammals,lower 95%Intensive forestryMammals,upper 95%Intensive forestryMammals,MedianAnnual cropsBirds,lower 95%Annual cropsBirds,upper 95%Annual cropsBirds,MedianPermanent cropsBirds,lower 95%Permanent cropsBirds,upper 95%Permanent cropsBirds,MedianPastureBirds,lower 95%PastureBirds,upper 95%PastureBirds,MedianUrbanBirds,lower 95%UrbanBirds,upper 95%UrbanBirds,MedianExtensive forestryBirds,lower 95%Extensive forestryBirds,upper 95%Extensive forestryBirds,MedianIntensive forestryBirds,lower 95%Intensive forestryBirds,upper 95%Intensive forestryBirds,MedianAnnual cropsPlants,lower 95%Annual cropsPlants,upper 95%Annual cropsPlants,MedianPermanent cropsPlants,lower 95%Permanent cropsPlants,upper 95%Permanent cropsPlants,MedianPasturePlants,lower 95%PasturePlants,upper 95%PasturePlants,MedianUrbanPlants,lower 95%UrbanPlants,upper 95%UrbanPlants,MedianExtensive forestryPlants,lower 95%Extensive forestryPlants,upper 95%Extensive forestryPlants,MedianIntensive forestryPlants,lower 95%Intensive forestryPlants,upper 95%Intensive forestryPlants,MedianAnnual cropsAmphibians,lower 95%Annual cropsAmphibians,upper 95%Annual cropsAmphibians,MedianPermanent cropsAmphibians,lower 95%Permanent cropsAmphibians,upper 95%Permanent cropsAmphibians,MedianPastureAmphibians,lower 95%PastureAmphibians,upper 95%PastureAmphibians,MedianUrbanAmphibians,lower 95%UrbanAmphibians,upper 95%UrbanAmphibians,MedianExtensive forestryAmphibians,lower 95%Extensive forestryAmphibians,upper 95%Extensive forestryAmphibians,MedianIntensive forestryAmphibians,lower 95%Intensive forestryAmphibians,upper 95%Intensive forestryAmphibians,MedianAnnual cropsReptiles,lower 95%Annual cropsReptiles,upper 95%Annual cropsReptiles,MedianPermanent cropsReptiles,lower 95%Permanent cropsReptiles,upper 95%Permanent cropsReptiles,MedianPastureReptiles,lower 95%PastureReptiles,upper 95%PastureReptiles,MedianUrbanReptiles,lower 95%UrbanReptiles,upper 95%UrbanReptiles,MedianExtensive forestryReptiles,lower 95%Extensive forestryReptiles,upper 95%Extensive forestryReptiles,MedianIntensive forestryReptiles,lower 95%Intensive forestryReptiles,upper 95%Intensive forestryReptiles
Aruba,5.58E-09,-1.41E-08,3.35E-08,2.62E-09,-1.40E-08,3.07208E-08,3.87374E-09,-1.98273E-08,1.80389E-08,7.3743E-09,-2.10256E-08,4.28839E-08,2.75236E-09,-1.44628E-08,1.37618E-08,1.751E-09,-1.33885E-08,1.92032E-08,8.37854E-09,-4.52874E-09,2.77114E-08,1.0155E-08,-4.22437E-09,3.14256E-08,4.51105E-09,-1.83929E-08,2.45185E-08,1.57531E-08,6.58154E-10,4.06767E-08,1.96435E-09,-1.88896E-09,1.37356E-08,7.4102E-09,-4.25629E-09,2.70212E-08,1.66411E-08,-1.04922E-08,6.20193E-08,1.29991E-08,-1.28543E-08,5.54424E-08,9.40303E-09,-1.94414E-08,4.38111E-08,1.62922E-08,-8.25286E-09,5.49782E-08,2.99254E-09,-1.44137E-08,2.7275E-08,7.16246E-09,-1.31289E-08,3.78586E-08,8.91329E-10,-5.22711E-10,2.64061E-09,8.08591E-10,-4.71405E-10,2.715E-09,5.26445E-10,-1.13845E-09,1.94223E-09,1.03484E-09,1.32131E-10,2.87203E-09,1.9888E-10,-5.15563E-10,1.48672E-09,6.19192E-10,-2.56555E-10,2.63685E-09,4.71905E-09,-2.43543E-09,1.22529E-08,4.19431E-09,-1.87673E-09,1.25558E-08,2.31294E-09,-1.63259E-09,9.26371E-09,5.41127E-09,1.22271E-09,1.27458E-08,9.8658E-10,-2.22752E-09,7.82057E-09,2.18039E-09,-2.29182E-09,1.02482E-08
Antigua and Barbuda,9.96E-09,-3.86E-09,3.44E-08,4.67E-09,-1.26E-08,3.29118E-08,6.77502E-09,-1.00225E-08,3.28621E-08,1.36846E-08,-3.00262E-11,3.73848E-08,4.00847E-09,-9.0582E-09,2.56327E-08,2.97725E-09,-1.21093E-08,2.81543E-08,8.52733E-08,-4.12165E-08,2.89053E-07,1.03285E-07,-3.81654E-08,3.24656E-07,4.9421E-08,-1.44106E-07,2.87641E-07,1.64256E-07,-1.40764E-08,3.93676E-07,1.90395E-08,-1.82046E-08,1.58258E-07,7.65938E-08,-4.93298E-08,2.89636E-07,1.89828E-07,-3.52178E-08,5.59119E-07,1.45325E-07,-6.35021E-08,5.05443E-07,1.20543E-07,-6.72931E-08,4.71158E-07,1.80076E-07,-1.40499E-08,4.84797E-07,3.41325E-08,-8.1567E-08,2.9462E-07,1.04082E-07,-6.74685E-08,4.10611E-07,4.78071E-09,-2.50047E-09,1.53224E-08,4.39051E-09,-2.51624E-09,1.43205E-08,2.87479E-09,-3.66623E-09,1.23103E-08,5.6721E-09,1.70462E-10,1.55296E-08,1.04711E-09,-2.06303E-09,1.04033E-08,3.30507E-09,-1.74595E-09,1.45649E-08,3.45483E-08,-1.5555E-08,9.80169E-08,3.08538E-08,-1.35474E-08,9.5262E-08,1.68613E-08,-1.11344E-08,7.3365E-08,3.97544E-08,8.10624E-09,9.77687E-08,7.34361E-09,-1.37053E-08,6.58923E-08,1.59723E-08,-1.70376E-08,7.71893E-08
Afghanistan,8.27E-10,-1.26E-09,4.64E-09,2.42E-10,-1.62E-09,4.09178E-09,5.61651E-10,-3.18763E-10,3.85233E-09,1.05347E-09,-2.03663E-09,4.68695E-09,2.17997E-10,-1.45511E-09,2.58845E-09,1.58913E-10,-1.43718E-09,3.09927E-09,9.57632E-10,-2.2268E-09,6.42504E-09,1.12801E-09,-2.99976E-09,6.95129E-09,6.91285E-10,-7.01434E-10,5.90999E-09,1.84681E-09,-3.8967E-09,8.09787E-09,1.62818E-10,-5.91233E-10,2.10042E-09,6.53428E-10,-2.06338E-09,5.12109E-09,1.4289E-08,-2.04504E-08,8.9664E-08,1.03205E-08,-2.06493E-08,7.37433E-08,7.66368E-09,-5.20282E-09,7.40464E-08,1.28067E-08,-2.39349E-08,7.66368E-08,1.49726E-09,-1.64765E-08,3.45797E-08,6.62939E-09,-1.95987E-08,5.47046E-08,3.29907E-11,-5.00652E-11,1.81153E-10,2.71109E-11,-6.14226E-11,1.69632E-10,1.98543E-11,-1.14151E-11,1.48401E-10,3.72635E-11,-7.7775E-11,1.71893E-10,4.0881E-12,-3.69822E-11,7.32086E-11,1.84136E-11,-5.20409E-11,1.37015E-10,1.7782E-10,-2.11022E-10,9.37442E-10,1.52498E-10,-3.34376E-10,8.19748E-10,9.03441E-11,-6.45923E-11,5.17303E-10,2.04467E-10,-3.96662E-10,9.60807E-10,2.56093E-11,-1.65263E-10,3.33683E-10,5.90796E-11,-2.0624E-10,4.98808E-10
Algeria,3.80E-11,-1.53E-10,1.95E-10,1.26E-11,-1.38E-10,1.91301E-10,3.09136E-11,-2.41512E-11,1.01715E-10,5.44339E-11,-2.19527E-10,2.88517E-10,9.58585E-12,-4.32661E-11,8.46459E-11,6.67672E-12,-4.44118E-11,9.38123E-11,1.09231E-10,-3.85296E-10,6.10527E-10,1.40464E-10,-4.98434E-10,7.04348E-10,9.11038E-11,-1.53309E-10,4.3559E-10,2.43924E-10,-6.92841E-10,1.10003E-09,2.03132E-11,-6.43707E-11,1.81293E-10,8.15347E-11,-2.172E-10,4.10807E-10,1.34284E-09,-3.16178E-09,6.38931E-09,8.77286E-10,-2.85332E-09,4.853E-09,5.92265E-10,-4.4859E-10,1.98937E-09,1.10492E-09,-2.89679E-09,5.91271E-09,1.58311E-10,-8.68723E-10,1.80905E-09,4.14073E-10,-1.01747E-09,2.38211E-09,3.32459E-12,-1.41794E-11,2.01478E-11,2.99184E-12,-1.47713E-11,1.95135E-11,2.47486E-12,-1.34827E-12,7.45873E-12,4.18464E-12,-1.9708E-11,2.44536E-11,3.67072E-13,-1.94869E-12,4.79061E-12,1.5166E-12,-3.32307E-12,8.23594E-12,3.96592E-11,-1.7647E-10,2.58931E-10,3.58741E-11,-1.26101E-10,2.45036E-10,2.15789E-11,-2.54737E-12,7.57873E-11,4.89104E-11,-1.93129E-10,3.38165E-10,5.62508E-12,-2.34973E-11,5.22171E-11,1.27058E-11,-3.36902E-11,7.24084E-11
Azerbaijan,7.85E-10,-4.44E-10,3.28E-09,3.98E-10,-1.13E-09,3.78362E-09,6.40986E-10,-9.44188E-10,3.21051E-09,1.22536E-09,-1.02226E-09,5.15118E-09,3.15522E-10,-1.30004E-09,2.28865E-09,2.34235E-10,-1.42379E-09,2.75122E-09,2.09691E-09,-1.35997E-09,9.77613E-09,2.82363E-09,-4.15527E-09,1.26194E-08,1.63526E-09,-4.5465E-09,1.0312E-08,4.73853E-09,-6.03539E-09,1.59207E-08,5.14161E-10,-9.75852E-10,4.23438E-09,1.92741E-09,-3.36603E-09,1.0218E-08,2.42091E-08,-1.35267E-08,7.92449E-08,1.80465E-08,-2.16368E-08,8.75038E-08,1.5043E-08,-3.22846E-08,7.45184E-08,2.25191E-08,-2.92193E-08,8.80243E-08,3.92455E-09,-2.40344E-08,4.61011E-08,6.19015E-09,-2.16169E-08,5.45594E-08,1.03817E-10,-6.07106E-11,3.93277E-10,1.00944E-10,-6.84677E-11,4.13601E-10,7.33403E-11,-9.31265E-11,3.4475E-10,1.37507E-10,-1.02567E-10,5.05872E-10,1.99824E-11,-9.0082E-11,2.44223E-10,7.5113E-11,-7.31587E-11,4.29427E-10,4.69297E-10,-2.55928E-10,1.48281E-09,4.56053E-10,-2.90669E-10,1.80586E-09,2.70307E-10,-1.51687E-10,1.29294E-09,6.0151E-10,-2.30113E-10,1.90252E-09,9.55917E-11,-3.48307E-10,8.89979E-10,2.19028E-10,-3.92012E-10,1.31985E-09
Albania,1.03E-09,-5.03E-10,4.69E-09,5.47E-10,-1.42E-09,4.88701E-09,7.59357E-10,-1.13086E-09,4.83818E-09,1.56634E-09,-1.78809E-09,5.83342E-09,4.45993E-10,-1.03342E-09,3.54322E-09,2.99421E-10,-1.57723E-09,3.7279E-09,3.68338E-09,-1.66234E-09,1.33491E-08,4.85969E-09,-1.91708E-09,1.67446E-08,2.54389E-09,-5.80524E-09,1.5015E-08,7.96527E-09,-1.67821E-09,2.04843E-08,8.8547E-10,-8.81052E-10,7.98948E-09,3.44382E-09,-2.88762E-09,1.39919E-08,8.27982E-08,3.01161E-08,2.72909E-07,4.92524E-08,-2.68428E-08,2.44913E-07,2.57992E-08,-2.27062E-08,1.8166E-07,6.11253E-08,-1.54988E-08,2.37853E-07,1.12124E-08,-2.17057E-08,1.80076E-07,2.48597E-08,-3.27327E-08,1.87023E-07,3.06773E-10,-1.50901E-10,1.47286E-09,3.00493E-10,-1.56126E-10,1.4674E-09,2.02755E-10,-2.54824E-10,1.27998E-09,4.03263E-10,-2.04257E-10,1.71097E-09,6.83673E-11,-1.66093E-10,1.1186E-09,2.2436E-10,-1.65187E-10,1.43038E-09,5.64309E-10,-2.81789E-10,2.30772E-09,5.64844E-10,-3.12883E-10,2.50979E-09,3.05498E-10,-2.42307E-10,1.96398E-09,7.17829E-10,-3.50738E-10,2.60222E-09,1.32181E-10,-2.70396E-10,1.64457E-09,2.65559E-10,-3.87752E-10,1.58244E-09
Armenia,5.02E-10,-3.57E-10,1.65E-09,2.15E-10,-9.51E-10,2.20526E-09,3.70028E-10,-8.10677E-10,1.51699E-09,7.04248E-10,-1.25076E-09,3.40281E-09,2.02893E-10,-9.14001E-10,1.19027E-09,1.49805E-10,-7.14931E-10,1.65348E-09,1.32618E-09,-1.36657E-09,5.03213E-09,1.56854E-09,-3.38326E-09,7.58411E-09,9.2529E-10,-4.34959E-09,5.11001E-09,2.46216E-09,-4.73614E-09,9.92063E-09,2.99457E-10,-6.95998E-10,2.15279E-09,1.06983E-09,-2.59571E-09,6.05865E-09,2.20956E-08,-1.59772E-08,5.28563E-08,1.54495E-08,-2.59538E-08,7.41526E-08,1.04587E-08,-3.88153E-08,4.18436E-08,1.91188E-08,-2.81154E-08,7.57874E-08,3.81906E-09,-2.33285E-08,3.66361E-08,4.12007E-09,-1.89137E-08,3.74681E-08,7.79559E-11,-4.97787E-11,2.4333E-10,7.07526E-11,-7.57885E-11,2.96924E-10,5.11538E-11,-1.04674E-10,2.05389E-10,9.38632E-11,-1.22387E-10,4.30429E-10,1.54513E-11,-7.0335E-11,1.59289E-10,5.28097E-11,-5.96494E-11,3.09959E-10,3.66109E-10,-2.44907E-10,9.2846E-10,3.33987E-10,-2.6723E-10,1.35127E-09,2.03881E-10,-1.20819E-10,8.14538E-10,4.43754E-10,-1.89283E-10,1.54164E-09,7.44493E-11,-2.71701E-10,6.41776E-10,1.66595E-10,-3.1025E-10,9.65846E-10
Andorra,2.31E-09,-1.06E-08,8.84E-09,9.83E-10,-7.23E-09,1.11225E-08,1.74181E-09,-6.32853E-09,8.33107E-09,3.16806E-09,-1.65859E-08,1.95326E-08,1.23779E-09,-5.31485E-09,7.53837E-09,7.12519E-10,-6.3395E-09,7.82541E-09,6.26163E-09,-1.07329E-08,1.94417E-08,7.37767E-09,-3.1517E-08,3.52194E-08,3.88938E-09,-3.02147E-08,2.96835E-08,1.08246E-08,-4.73919E-08,6.41767E-08,1.63216E-09,-4.35069E-09,7.10315E-09,5.44095E-09,-1.58879E-08,2.78863E-08,1.42172E-07,-6.95303E-07,7.70513E-07,9.22306E-08,-4.67839E-07,7.37704E-07,9.2255E-08,-3.8723E-07,5.07724E-07,1.14198E-07,-6.20224E-07,8.38719E-07,4.12128E-08,-2.87049E-07,3.23192E-07,1.59631E-08,-1.73075E-07,3.64024E-07,6.49968E-10,-4.99455E-10,1.80796E-09,5.56709E-10,-8.53617E-10,2.63495E-09,3.83605E-10,-1.16592E-09,1.44338E-09,7.20134E-10,-1.07942E-09,3.59048E-09,1.48805E-10,-7.1262E-10,7.08731E-10,4.306E-10,-7.79364E-10,2.24035E-09,1.06366E-09,-1.15571E-09,3.02456E-09,9.18357E-10,-1.38381E-09,4.06619E-09,5.36449E-10,-7.1026E-10,1.84992E-09,1.187E-09,-6.36111E-10,5.42152E-09,2.32598E-10,-1.3018E-09,1.07138E-09,4.84767E-10,-1.10524E-09,2.60184E-09
Angola,3.11E-10,-1.08E-09,1.99E-09,9.46E-11,-1.04E-09,1.9132E-09,2.637E-10,-4.03379E-10,1.14174E-09,4.67089E-10,-1.55589E-09,2.75602E-09,1.5151E-10,-6.30945E-10,1.13215E-09,7.95346E-11,-6.98168E-10,1.38677E-09,8.58499E-10,-4.25336E-09,5.76083E-09,1.14522E-09,-5.38826E-09,6.15906E-09,8.59984E-10,-1.20429E-09,3.19204E-09,2.06715E-09,-7.94853E-09,9.4761E-09,2.10704E-10,-9.3013E-10,2.05845E-09,7.76971E-10,-3.7963E-09,4.78221E-09,6.01119E-09,-2.35321E-08,4.10942E-08,4.19904E-09,-2.30978E-08,4.00141E-08,4.1904E-09,-6.00856E-09,1.75029E-08,5.88337E-09,-2.46411E-08,4.25727E-08,1.28163E-09,-8.29545E-09,1.49962E-08,2.77632E-09,-1.5731E-08,2.15499E-08,1.08019E-10,-3.07875E-10,6.81098E-10,9.34976E-11,-3.17715E-10,6.16573E-10,7.70541E-11,-9.49114E-11,2.88637E-10,1.35185E-10,-4.27075E-10,7.54002E-10,2.37946E-11,-1.20475E-10,2.4972E-10,6.96442E-11,-2.63007E-10,5.01761E-10,2.59289E-10,-7.07703E-10,1.57542E-09,2.24079E-10,-7.75192E-10,1.47727E-09,1.41252E-10,-1.59723E-10,5.28419E-10,3.13839E-10,-1.0036E-09,1.92044E-09,6.23951E-11,-2.80239E-10,4.94663E-10,1.11915E-10,-4.89196E-10,8.72183E-10
American Samoa,2.74E-09,-2.17E-09,8.20892E-08,1.47E-09,-2.64E-09,8.93961E-08,0,0,0,3.58008E-09,-3.32796E-09,8.97314E-08,0,0,0,0,0,0,6.97143E-08,-1.51692E-10,1.55721E-06,6.68177E-08,-2.76003E-09,1.53583E-06,0,0,0,1.00794E-07,2.4329E-08,1.61003E-06,0,0,0,0,0,0,8.89188E-07,4.56968E-08,2.59433E-05,8.0287E-07,-1.14078E-07,2.33484E-05,0,0,0,8.61984E-07,-6.82851E-08,2.22339E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51252E-08,-3.5223E-09,4.50168E-07,1.34763E-08,-2.97534E-09,4.41087E-07,0,0,0,1.71991E-08,3.0319E-10,4.30326E-07,0,0,0,0,0,0
