Country name,MedianAnnual cropsMammals,lower 95%Annual cropsMammals,upper 95%Annual cropsMammals,MedianPermanent cropsMammals,lower 95%Permanent cropsMammals,upper 95%Permanent cropsMammals,MedianPastureMammals,lower 95%PastureMammals,upper 95%PastureMammals,MedianUrbanMammals,lower 95%UrbanMammals,upper 95%UrbanMammals,MedianExtensive forestryMammals,lower 95%Extensive forestryMammals,upper 95%Extensive forestryMammals,MedianIntensive forestryMammals,lower 95%Intensive forestryMammals,upper 95%Intensive forestryMammals,MedianAnnual cropsBirds,lower 95%Annual cropsBirds,upper 95%Annual cropsBirds,MedianPermanent cropsBirds,lower 95%Permanent cropsBirds,upper 95%Permanent cropsBirds,MedianPastureBirds,lower 95%PastureBirds,upper 95%PastureBirds,MedianUrbanBirds,lower 95%UrbanBirds,upper 95%UrbanBirds,MedianExtensive forestryBirds,lower 95%Extensive forestryBirds,upper 95%Extensive forestryBirds,MedianIntensive forestryBirds,lower 95%Intensive forestryBirds,upper 95%Intensive forestryBirds,MedianAnnual cropsAmphibians,lower 95%Annual cropsAmphibians,upper 95%Annual cropsAmphibians,MedianPermanent cropsAmphibians,lower 95%Permanent cropsAmphibians,upper 95%Permanent cropsAmphibians,MedianPastureAmphibians,lower 95%PastureAmphibians,upper 95%PastureAmphibians,MedianUrbanAmphibians,lower 95%UrbanAmphibians,upper 95%UrbanAmphibians,MedianExtensive forestryAmphibians,lower 95%Extensive forestryAmphibians,upper 95%Extensive forestryAmphibians,MedianIntensive forestryAmphibians,lower 95%Intensive forestryAmphibians,upper 95%Intensive forestryAmphibians,MedianAnnual cropsReptiles,lower 95%Annual cropsReptiles,upper 95%Annual cropsReptiles,MedianPermanent cropsReptiles,lower 95%Permanent cropsReptiles,upper 95%Permanent cropsReptiles,MedianPastureReptiles,lower 95%PastureReptiles,upper 95%PastureReptiles,MedianUrbanReptiles,lower 95%UrbanReptiles,upper 95%UrbanReptiles,MedianExtensive forestryReptiles,lower 95%Extensive forestryReptiles,upper 95%Extensive forestryReptiles,MedianIntensive forestryReptiles,lower 95%Intensive forestryReptiles,upper 95%Intensive forestryReptiles
Aruba,5.69134E-11,-9.90567E-11,2.09891E-10,2.66951E-11,-1.06404E-10,2.26612E-10,3.92493E-11,-1.01471E-10,1.88954E-10,8.29391E-11,-8.80041E-11,2.90184E-10,2.58669E-11,-9.14303E-11,1.4493E-10,2.0057E-11,-8.97099E-11,1.83026E-10,8.23955E-11,-1.0994E-10,2.88554E-10,1.06794E-10,-9.72051E-11,3.50731E-10,4.80332E-11,-2.63885E-10,3.23449E-10,1.56834E-10,-1.33205E-10,4.74424E-10,2.06719E-11,-2.87499E-11,1.29963E-10,7.20842E-11,-8.02314E-11,2.9851E-10,6.06231E-11,-4.80092E-11,2.04684E-10,5.86165E-11,-5.02182E-11,2.07909E-10,3.66178E-11,-9.45026E-11,1.40703E-10,7.58117E-11,-3.72624E-11,2.43217E-10,1.33829E-11,-5.11226E-11,9.8058E-11,4.26283E-11,-3.13902E-11,2.01616E-10,2.06605E-11,-1.39311E-11,7.41082E-11,2.00385E-11,-1.03922E-11,6.64026E-11,1.03437E-11,-1.15172E-11,4.09386E-11,2.60741E-11,1.11501E-12,7.95458E-11,4.38625E-12,-1.76594E-11,3.03319E-11,1.08131E-11,-1.27686E-11,4.98824E-11
Antigua and Barbuda,2.23874E-10,-1.21707E-10,7.68873E-10,1.00066E-10,-3.02471E-10,7.39545E-10,1.49415E-10,-2.33378E-10,7.14255E-10,3.24199E-10,-1.95136E-11,8.77641E-10,9.31272E-11,-2.10046E-10,5.62989E-10,8.22443E-11,-2.59748E-10,6.26711E-10,3.96368E-10,-1.92289E-10,1.42974E-09,5.21591E-10,-1.73576E-10,1.38944E-09,2.33291E-10,-6.05661E-10,1.42541E-09,7.87428E-10,-7.01788E-11,1.82397E-09,9.68558E-11,-9.53973E-11,6.94528E-10,3.45652E-10,-2.55309E-10,1.29691E-09,2.97882E-10,-2.12726E-10,1.02563E-09,2.9325E-10,-2.00511E-10,1.00063E-09,1.8438E-10,-2.61333E-10,8.43338E-10,3.87131E-10,-8.73637E-11,1.02992E-09,6.00056E-11,-1.82179E-10,6.01178E-10,2.05042E-10,-1.52198E-10,8.96368E-10,8.90813E-11,-4.37368E-11,2.65211E-10,8.62326E-11,-3.6054E-11,2.60366E-10,4.49725E-11,-3.14194E-11,1.95679E-10,1.11762E-10,2.16981E-11,2.54586E-10,1.83681E-11,-4.15108E-11,1.59942E-10,4.55596E-11,-4.37208E-11,2.06445E-10
Afghanistan,4.84996E-12,-8.46894E-12,2.71669E-11,1.36882E-12,-1.06069E-11,2.59344E-11,3.48557E-12,-2.90655E-12,2.33665E-11,7.20127E-12,-1.28356E-11,3.11814E-11,1.41962E-12,-8.3182E-12,1.45009E-11,1.0243E-12,-8.05495E-12,1.77498E-11,2.78723E-12,-7.11123E-12,2.39328E-11,3.99949E-12,-9.15186E-12,2.51022E-11,2.20249E-12,-2.39223E-12,2.0412E-11,6.17641E-12,-1.35963E-11,3.14705E-11,5.47524E-13,-2.17914E-12,7.40982E-12,2.08165E-12,-6.47379E-12,1.90134E-11,2.12265E-12,-2.35464E-12,1.86873E-11,1.92512E-12,-3.10835E-12,1.60604E-11,1.13434E-12,-7.93524E-13,1.63125E-11,2.72681E-12,-3.19036E-12,1.74739E-11,2.74284E-13,-2.88723E-12,7.23985E-12,1.31558E-12,-2.93847E-12,1.45167E-11,1.33594E-12,-3.87218E-12,8.37881E-12,1.1985E-12,-4.73462E-12,8.32064E-12,7.07033E-13,-7.58257E-13,4.22855E-12,1.69861E-12,-7.45181E-12,9.47029E-12,2.18738E-13,-1.80203E-12,3.51653E-12,5.59911E-13,-2.7117E-12,4.67123E-12
Algeria,1.51344E-12,-5.00886E-12,8.78117E-12,4.63537E-13,-3.97399E-12,9.35098E-12,1.26835E-12,-5.32195E-13,4.62721E-12,2.46543E-12,-6.69585E-12,1.2324E-11,3.89119E-13,-1.72333E-12,3.33493E-12,2.7541E-13,-1.69354E-12,3.98065E-12,5.22695E-13,-3.90026E-12,4.30452E-12,8.41337E-13,-4.17305E-12,5.56421E-12,5.659E-13,-8.6755E-13,2.4748E-12,1.37539E-12,-8.04203E-12,7.9741E-12,1.06123E-13,-4.09815E-13,9.61125E-13,3.87066E-13,-1.01584E-12,2.33945E-12,4.89457E-13,-4.82878E-13,2.17199E-12,4.72083E-13,-6.43508E-13,2.07976E-12,3.18013E-13,-3.54138E-13,1.76178E-12,6.61095E-13,-8.85109E-13,2.34776E-12,8.54892E-14,-3.17685E-13,1.10484E-12,3.09412E-13,-4.42426E-13,1.5924E-12,2.96151E-12,-9.52535E-12,1.84248E-11,3.03901E-12,-9.77932E-12,2.02798E-11,1.7601E-12,-6.71036E-13,7.51864E-12,4.1861E-12,-1.33365E-11,2.13745E-11,4.64696E-13,-2.89907E-12,5.01258E-12,1.27895E-12,-2.28526E-12,7.36434E-12
Azerbaijan,2.30572E-11,-1.77979E-11,8.66402E-11,1.01796E-11,-5.30138E-11,1.12623E-10,1.79984E-11,-4.01568E-11,8.96099E-11,3.62147E-11,-7.53589E-11,1.52187E-10,9.58107E-12,-4.1481E-11,7.32374E-11,7.10498E-12,-6.01422E-11,8.30319E-11,3.32556E-12,-4.90795E-12,1.62414E-11,4.39651E-12,-1.1161E-11,2.08917E-11,2.52645E-12,-1.17288E-11,1.67393E-11,6.77163E-12,-1.65388E-11,3.05194E-11,7.90419E-13,-2.6612E-12,5.97327E-12,2.79794E-12,-8.09747E-12,1.66919E-11,3.68597E-12,-3.45641E-12,9.61949E-12,3.50496E-12,-5.28594E-12,1.54212E-11,2.41932E-12,-5.65788E-12,9.42544E-12,4.78161E-12,-7.27617E-12,1.67415E-11,7.21431E-13,-3.9039E-12,6.5774E-12,2.46394E-12,-4.00524E-12,1.43322E-11,2.02514E-11,-1.92597E-11,4.5841E-11,1.87182E-11,-2.82129E-11,7.54192E-11,1.06019E-11,-1.14757E-11,4.08539E-11,2.52098E-11,-2.6772E-11,9.744E-11,4.11381E-12,-1.86085E-11,3.37021E-11,1.00425E-11,-1.93016E-11,5.41895E-11
Albania,9.92722E-12,-5.44776E-12,4.73546E-11,5.01203E-12,-1.37054E-11,5.03459E-11,7.49481E-12,-1.41779E-11,5.06551E-11,1.67699E-11,-1.08146E-11,6.30533E-11,4.62548E-12,-1.10849E-11,3.90797E-11,3.5263E-12,-1.56349E-11,4.23178E-11,2.21328E-12,-1.09493E-12,9.18679E-12,3.2032E-12,-1.44802E-12,1.01861E-11,1.58437E-12,-3.64758E-12,9.83341E-12,4.97493E-12,-1.51395E-12,1.39442E-11,5.78596E-13,-5.90626E-13,4.66549E-12,1.95849E-12,-1.66378E-12,9.03085E-12,1.11951E-11,-7.34486E-12,5.86996E-11,1.27602E-11,-7.04309E-12,6.5671E-11,8.29122E-12,-1.51683E-11,5.51452E-11,1.74522E-11,-1.00465E-11,6.39916E-11,2.42257E-12,-7.31759E-12,3.96656E-11,8.56947E-12,-8.43677E-12,5.17659E-11,1.14238E-11,-1.05554E-11,4.97665E-11,1.23017E-11,-6.37709E-12,5.74731E-11,6.54309E-12,-5.62974E-12,4.13476E-11,1.64708E-11,-6.89999E-12,6.82469E-11,2.57976E-12,-7.27465E-12,3.38555E-11,6.22574E-12,-7.70551E-12,4.35687E-11
Armenia,2.88736E-11,-2.20004E-11,9.00756E-11,1.17106E-11,-7.39833E-11,1.30133E-10,2.06216E-11,-5.8717E-11,1.00008E-10,3.99486E-11,-1.2227E-10,1.80426E-10,1.17366E-11,-5.14483E-11,7.78513E-11,8.34247E-12,-7.91522E-11,8.28719E-11,4.50966E-12,-8.03544E-12,1.98048E-11,5.19163E-12,-1.76937E-11,2.71887E-11,3.15072E-12,-1.74981E-11,2.05017E-11,7.6878E-12,-2.61058E-11,4.12108E-11,9.58049E-13,-3.92797E-12,7.41203E-12,3.4736E-12,-1.17953E-11,2.13885E-11,4.08312E-12,-3.29969E-12,1.25647E-11,3.80762E-12,-4.80746E-12,1.84515E-11,2.6982E-12,-5.56749E-12,1.07843E-11,5.21999E-12,-7.90663E-12,1.85237E-11,8.1913E-13,-3.29114E-12,8.32182E-12,2.66447E-12,-4.23591E-12,1.63852E-11,4.52106E-11,-3.70626E-11,1.27173E-10,4.31908E-11,-5.38077E-11,1.75715E-10,2.52713E-11,-2.17949E-11,1.07772E-10,5.90813E-11,-4.89541E-11,2.13776E-10,9.44467E-12,-3.73291E-11,8.76128E-11,2.32155E-11,-4.05277E-11,1.24812E-10
Andorra,1.2684E-11,-3.10783E-11,5.07714E-11,4.61751E-12,-6.40966E-11,5.28639E-11,9.37449E-12,-4.48812E-11,4.00445E-11,1.80734E-11,-8.29854E-11,9.0995E-11,6.6163E-12,-2.05925E-11,3.34627E-11,4.59441E-12,-2.39758E-11,4.8522E-11,2.79925E-12,-9.25039E-12,1.16255E-11,3.4114E-12,-1.80472E-11,2.21621E-11,1.85537E-12,-1.78861E-11,1.84234E-11,4.80739E-12,-2.67069E-11,3.17698E-11,7.31075E-13,-2.36797E-12,3.57011E-12,2.45376E-12,-1.25777E-11,1.76396E-11,4.32054E-11,-5.39056E-11,1.54272E-10,3.93144E-11,-9.15511E-11,2.00063E-10,2.70692E-11,-9.80369E-11,1.10362E-10,5.17524E-11,-1.27036E-10,2.33026E-10,1.08128E-11,-4.75982E-11,5.09833E-11,2.96032E-11,-5.01136E-11,1.75281E-10,8.56326E-11,-9.62526E-11,2.76196E-10,7.7669E-11,-1.25565E-10,3.36036E-10,4.2752E-11,-5.66575E-11,1.97539E-10,1.02507E-10,-1.54119E-10,5.25394E-10,1.97155E-11,-1.18933E-10,8.35452E-11,4.3977E-11,-9.21067E-11,2.30527E-10
Angola,7.67866E-12,-3.18119E-11,4.47641E-11,2.37782E-12,-2.87375E-11,4.16709E-11,7.0953E-12,-1.44318E-11,2.43711E-11,1.28382E-11,-4.36376E-11,6.8184E-11,4.28968E-12,-1.64519E-11,2.18248E-11,2.65218E-12,-2.10946E-11,3.21772E-11,9.60145E-12,-5.34271E-11,8.25967E-11,1.48348E-11,-6.69663E-11,9.87509E-11,1.03337E-11,-1.98513E-11,3.32545E-11,2.46136E-11,-8.89054E-11,1.36477E-10,2.63262E-12,-1.06617E-11,2.35276E-11,9.4439E-12,-3.72129E-11,6.59181E-11,9.47429E-12,-2.82969E-11,4.79038E-11,9.48045E-12,-2.90358E-11,5.09669E-11,7.61746E-12,-1.06671E-11,2.19885E-11,1.37813E-11,-3.67619E-11,6.5803E-11,2.39039E-12,-1.17137E-11,1.77998E-11,6.89036E-12,-1.90914E-11,4.52525E-11,2.07726E-12,-8.88804E-12,1.12009E-11,1.93978E-12,-9.27823E-12,1.2616E-11,1.24016E-12,-1.1498E-12,3.94418E-12,2.79281E-12,-1.32501E-11,1.47456E-11,4.93301E-13,-3.08985E-12,3.94757E-12,1.00974E-12,-4.94206E-12,6.81543E-12
American Samoa,3.71991E-11,-3.47848E-11,1.14929E-09,2.16412E-11,-2.90691E-11,1.16297E-09,0,0,0,4.89444E-11,-6.13735E-11,1.08973E-09,0,0,0,0,0,0,7.71464E-09,-9.95052E-11,2.58032E-07,7.83701E-09,-3.31461E-10,2.82538E-07,0,0,0,1.10179E-08,2.49964E-09,2.75374E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41337E-09,-4.65502E-10,4.59113E-08,1.24483E-09,-2.40901E-10,4.48705E-08,0,0,0,1.77896E-09,-4.4149E-12,4.6775E-08,0,0,0,0,0,0
