Country name,MedianAnnual cropsMammals,lower 95%Annual cropsMammals,upper 95%Annual cropsMammals,MedianPermanent cropsMammals,lower 95%Permanent cropsMammals,upper 95%Permanent cropsMammals,MedianPastureMammals,lower 95%PastureMammals,upper 95%PastureMammals,MedianUrbanMammals,lower 95%UrbanMammals,upper 95%UrbanMammals,MedianExtensive forestryMammals,lower 95%Extensive forestryMammals,upper 95%Extensive forestryMammals,MedianIntensive forestryMammals,lower 95%Intensive forestryMammals,upper 95%Intensive forestryMammals,MedianAnnual cropsBirds,lower 95%Annual cropsBirds,upper 95%Annual cropsBirds,MedianPermanent cropsBirds,lower 95%Permanent cropsBirds,upper 95%Permanent cropsBirds,MedianPastureBirds,lower 95%PastureBirds,upper 95%PastureBirds,MedianUrbanBirds,lower 95%UrbanBirds,upper 95%UrbanBirds,MedianExtensive forestryBirds,lower 95%Extensive forestryBirds,upper 95%Extensive forestryBirds,MedianIntensive forestryBirds,lower 95%Intensive forestryBirds,upper 95%Intensive forestryBirds,MedianAnnual cropsPlants,lower 95%Annual cropsPlants,upper 95%Annual cropsPlants,MedianPermanent cropsPlants,lower 95%Permanent cropsPlants,upper 95%Permanent cropsPlants,MedianPasturePlants,lower 95%PasturePlants,upper 95%PasturePlants,MedianUrbanPlants,lower 95%UrbanPlants,upper 95%UrbanPlants,MedianExtensive forestryPlants,lower 95%Extensive forestryPlants,upper 95%Extensive forestryPlants,MedianIntensive forestryPlants,lower 95%Intensive forestryPlants,upper 95%Intensive forestryPlants,MedianAnnual cropsAmphibians,lower 95%Annual cropsAmphibians,upper 95%Annual cropsAmphibians,MedianPermanent cropsAmphibians,lower 95%Permanent cropsAmphibians,upper 95%Permanent cropsAmphibians,MedianPastureAmphibians,lower 95%PastureAmphibians,upper 95%PastureAmphibians,MedianUrbanAmphibians,lower 95%UrbanAmphibians,upper 95%UrbanAmphibians,MedianExtensive forestryAmphibians,lower 95%Extensive forestryAmphibians,upper 95%Extensive forestryAmphibians,MedianIntensive forestryAmphibians,lower 95%Intensive forestryAmphibians,upper 95%Intensive forestryAmphibians,MedianAnnual cropsReptiles,lower 95%Annual cropsReptiles,upper 95%Annual cropsReptiles,MedianPermanent cropsReptiles,lower 95%Permanent cropsReptiles,upper 95%Permanent cropsReptiles,MedianPastureReptiles,lower 95%PastureReptiles,upper 95%PastureReptiles,MedianUrbanReptiles,lower 95%UrbanReptiles,upper 95%UrbanReptiles,MedianExtensive forestryReptiles,lower 95%Extensive forestryReptiles,upper 95%Extensive forestryReptiles,MedianIntensive forestryReptiles,lower 95%Intensive forestryReptiles,upper 95%Intensive forestryReptiles
Aruba,6.75708E-07,-1.73683E-06,4.10884E-06,3.20354E-07,-1.63363E-06,3.70624E-06,4.61258E-07,-2.50412E-06,2.15991E-06,8.94628E-07,-2.5409E-06,5.83795E-06,3.34183E-07,-1.91146E-06,1.75369E-06,2.02603E-07,-1.81546E-06,2.45371E-06,5.92059E-07,-4.50344E-07,2.60653E-06,7.27128E-07,-4.48578E-07,3.15582E-06,2.97667E-07,-1.92153E-06,2.39693E-06,1.12138E-06,-2.43144E-07,4.30721E-06,1.45902E-07,-1.77454E-07,1.05676E-06,5.26766E-07,-3.78313E-07,2.46705E-06,1.1012E-06,-1.0422E-06,6.08394E-06,8.6996E-07,-1.29853E-06,5.50156E-06,6.05657E-07,-1.9576E-06,4.15011E-06,1.12292E-06,-1.0368E-06,5.43954E-06,1.89911E-07,-1.38791E-06,2.39518E-06,4.43522E-07,-1.27425E-06,3.53568E-06,6.75457E-08,-4.85679E-08,2.64056E-07,6.16285E-08,-4.50713E-08,2.68713E-07,3.95416E-08,-1.16603E-07,1.84448E-07,8.16738E-08,4.3295E-09,2.94382E-07,1.51582E-08,-5.11807E-08,1.24098E-07,4.84619E-08,-2.27795E-08,2.39113E-07,2.8762E-07,-1.81183E-07,1.10035E-06,2.67427E-07,-1.37507E-07,1.13211E-06,1.52258E-07,-1.1446E-07,8.05683E-07,3.65221E-07,6.41723E-08,1.1883E-06,6.60359E-08,-1.84602E-07,5.66941E-07,1.39268E-07,-1.69347E-07,8.29326E-07
Antigua and Barbuda,8.20551E-07,-3.36828E-07,3.19788E-06,3.59538E-07,-1.13974E-06,3.12168E-06,5.39808E-07,-8.72647E-07,3.03963E-06,1.12111E-06,-5.98101E-08,3.63049E-06,3.17349E-07,-8.02027E-07,2.40359E-06,2.28016E-07,-1.01817E-06,2.58787E-06,6.17339E-06,-3.33547E-06,2.55614E-05,7.55991E-06,-3.16654E-06,2.90897E-05,3.51972E-06,-1.17223E-05,2.56402E-05,1.19892E-05,-2.05347E-06,3.56966E-05,1.39312E-06,-1.55928E-06,1.21905E-05,5.41086E-06,-3.76536E-06,2.4993E-05,1.2817E-05,-2.3852E-06,4.69976E-05,9.77147E-06,-4.25673E-06,4.28821E-05,8.01334E-06,-5.10328E-06,4.10141E-05,1.22533E-05,-9.39249E-07,4.21108E-05,2.25003E-06,-6.65106E-06,2.41425E-05,6.95787E-06,-5.22191E-06,3.51255E-05,3.00763E-07,-1.85395E-07,1.2991E-06,2.80891E-07,-1.75224E-07,1.16491E-06,1.81776E-07,-2.68227E-07,1.04672E-06,3.7667E-07,-2.49816E-08,1.30694E-06,6.61781E-08,-1.5519E-07,7.95323E-07,2.13387E-07,-1.18321E-07,1.15382E-06,2.19338E-06,-1.09398E-06,8.52447E-06,2.02133E-06,-9.86993E-07,8.15227E-06,1.11349E-06,-7.78556E-07,6.37483E-06,2.71969E-06,4.47708E-07,8.65996E-06,4.96725E-07,-1.06967E-06,4.85174E-06,1.03864E-06,-1.20762E-06,6.26476E-06
Afghanistan,1.59444E-07,-2.71052E-07,8.35827E-07,4.72411E-08,-3.28154E-07,7.70787E-07,1.08685E-07,-6.86552E-08,6.8321E-07,2.00378E-07,-4.54859E-07,8.75644E-07,4.29331E-08,-2.91656E-07,4.88611E-07,3.17947E-08,-2.78E-07,6.03698E-07,1.70511E-07,-4.38192E-07,1.10317E-06,2.01641E-07,-5.90966E-07,1.1896E-06,1.24108E-07,-1.36168E-07,9.74413E-07,3.24036E-07,-7.1926E-07,1.46578E-06,3.00007E-08,-1.17618E-07,3.62995E-07,1.17639E-07,-4.12404E-07,9.049E-07,2.45878E-06,-3.60766E-06,1.4412E-05,1.78187E-06,-3.97828E-06,1.2222E-05,1.32716E-06,-1.0438E-06,1.18112E-05,2.19613E-06,-4.46362E-06,1.26631E-05,2.70794E-07,-2.8347E-06,5.83417E-06,1.19225E-06,-3.49522E-06,9.19296E-06,6.07644E-09,-9.73947E-09,3.08024E-08,4.89231E-09,-1.14262E-08,2.93344E-08,3.60222E-09,-2.40038E-09,2.48271E-08,6.67971E-09,-1.48309E-08,3.08376E-08,7.96765E-10,-6.83024E-09,1.32967E-08,3.39299E-09,-1.02597E-08,2.39773E-08,2.80028E-08,-3.20065E-08,1.40633E-07,2.37851E-08,-5.28567E-08,1.29495E-07,1.40014E-08,-9.57206E-09,7.95636E-08,3.15436E-08,-6.0423E-08,1.51132E-07,4.08458E-09,-2.5336E-08,5.30851E-08,9.26582E-09,-3.19964E-08,8.02775E-08
Algeria,8.95543E-09,-2.88678E-08,4.21326E-08,3.0937E-09,-2.84493E-08,4.22948E-08,6.94843E-09,-8.67622E-09,2.37201E-08,1.27725E-08,-4.44001E-08,6.25087E-08,2.52785E-09,-1.15731E-08,2.15531E-08,1.82611E-09,-1.1177E-08,2.44098E-08,2.74091E-08,-8.02267E-08,1.31011E-07,3.41324E-08,-1.09836E-07,1.62127E-07,2.11942E-08,-5.28649E-08,1.08413E-07,5.7367E-08,-1.57929E-07,2.47825E-07,5.37717E-09,-1.78164E-08,4.53072E-08,2.08136E-08,-5.89498E-08,1.02307E-07,3.26357E-07,-5.84135E-07,1.28235E-06,2.1913E-07,-5.26132E-07,1.07744E-06,1.48293E-07,-1.53241E-07,4.92646E-07,2.76516E-07,-4.64446E-07,1.25855E-06,4.20981E-08,-2.07358E-07,4.71136E-07,1.09243E-07,-2.31226E-07,5.88832E-07,7.06787E-10,-2.36054E-09,3.6606E-09,6.43729E-10,-2.30767E-09,3.65223E-09,5.01151E-10,-4.8508E-10,1.64586E-09,8.78481E-10,-3.22137E-09,4.58646E-09,9.14528E-11,-4.701E-10,1.12852E-09,3.66298E-10,-6.86284E-10,2.00988E-09,8.20718E-09,-2.86977E-08,4.45856E-08,7.48394E-09,-2.08862E-08,4.44869E-08,4.31071E-09,-1.00193E-09,1.62805E-08,9.98228E-09,-3.12661E-08,5.93447E-08,1.28862E-09,-5.15681E-09,1.17297E-08,2.93577E-09,-7.55891E-09,1.61542E-08
Azerbaijan,1.87639E-07,-1.40242E-07,6.82945E-07,9.14813E-08,-3.34413E-07,8.85673E-07,1.48172E-07,-2.81354E-07,6.55117E-07,2.82864E-07,-3.52058E-07,1.33807E-06,7.56282E-08,-3.41052E-07,4.96137E-07,5.54623E-08,-3.26403E-07,6.47131E-07,4.56439E-07,-3.75448E-07,1.93549E-06,5.89072E-07,-1.10803E-06,2.87764E-06,3.29948E-07,-1.34278E-06,1.99121E-06,9.45571E-07,-1.55733E-06,3.80538E-06,1.09917E-07,-2.33045E-07,8.3549E-07,3.99442E-07,-8.20409E-07,2.27228E-06,6.08417E-06,-3.90638E-06,1.76611E-05,4.24821E-06,-6.52513E-06,2.0544E-05,3.56099E-06,-9.95913E-06,1.61562E-05,5.27308E-06,-8.05939E-06,2.12305E-05,1.02439E-06,-6.6258E-06,1.0928E-05,1.09914E-06,-5.50466E-06,1.11375E-05,2.35459E-08,-1.63881E-08,7.70236E-08,2.19245E-08,-2.06913E-08,9.1339E-08,1.58145E-08,-2.77584E-08,6.65798E-08,2.97406E-08,-3.27494E-08,1.19766E-07,4.61694E-09,-2.24598E-08,5.05485E-08,1.6119E-08,-1.73685E-08,9.0985E-08,1.09301E-07,-7.38073E-08,2.87965E-07,1.02033E-07,-7.84377E-08,4.18838E-07,5.89578E-08,-3.9435E-08,2.52638E-07,1.33247E-07,-5.48758E-08,4.68176E-07,2.22763E-08,-8.46087E-08,1.935E-07,4.94515E-08,-9.63496E-08,3.03694E-07
Albania,2.38293E-07,-1.22352E-07,1.0699E-06,1.24684E-07,-3.57745E-07,1.17807E-06,1.72715E-07,-2.97967E-07,1.11992E-06,3.63444E-07,-5.05849E-07,1.39075E-06,1.0593E-07,-2.50653E-07,8.12604E-07,6.88193E-08,-3.73421E-07,8.56414E-07,7.91276E-07,-3.62487E-07,2.81599E-06,1.05013E-06,-3.95869E-07,3.66191E-06,5.25957E-07,-1.2698E-06,3.15522E-06,1.68164E-06,-3.32651E-07,4.61207E-06,1.88647E-07,-1.88482E-07,1.74075E-06,7.43141E-07,-6.10094E-07,3.01523E-06,1.69288E-05,5.27627E-06,5.29537E-05,9.97374E-06,-8.09998E-06,5.02265E-05,5.39921E-06,-6.24535E-06,3.83892E-05,1.25221E-05,-5.36419E-06,4.89273E-05,2.26694E-06,-5.06943E-06,3.65894E-05,4.81617E-06,-7.21294E-06,3.63188E-05,6.61285E-08,-3.44672E-08,3.09276E-07,6.47583E-08,-3.48291E-08,3.07667E-07,4.28505E-08,-5.55751E-08,2.78459E-07,8.74018E-08,-4.59095E-08,3.62362E-07,1.4809E-08,-3.68022E-08,2.31093E-07,4.78566E-08,-3.45459E-08,3.06168E-07,1.21381E-07,-6.13779E-08,4.94742E-07,1.20608E-07,-7.67167E-08,5.31292E-07,6.48292E-08,-5.94333E-08,4.10138E-07,1.53765E-07,-1.00412E-07,5.25842E-07,2.82196E-08,-6.12802E-08,3.45801E-07,5.64373E-08,-8.91401E-08,3.39272E-07
Armenia,1.74546E-07,-1.53031E-07,5.58638E-07,7.56852E-08,-3.66601E-07,7.76626E-07,1.26464E-07,-3.21157E-07,4.93622E-07,2.42512E-07,-5.23137E-07,1.25209E-06,7.20694E-08,-3.40453E-07,4.00031E-07,5.24911E-08,-2.69925E-07,5.87929E-07,4.10716E-07,-4.68505E-07,1.56494E-06,4.8043E-07,-1.25541E-06,2.63004E-06,2.76557E-07,-1.58716E-06,1.55527E-06,7.3755E-07,-1.72153E-06,3.64459E-06,9.27411E-08,-2.40011E-07,6.41653E-07,3.28549E-07,-9.00164E-07,2.02373E-06,7.40939E-06,-5.58137E-06,1.76599E-05,4.99167E-06,-9.33222E-06,2.40392E-05,3.77484E-06,-1.4202E-05,1.38955E-05,6.20141E-06,-1.01944E-05,2.4755E-05,1.30519E-06,-8.38544E-06,1.19669E-05,1.079E-06,-6.77269E-06,1.13583E-05,2.53823E-08,-1.89949E-08,7.42716E-08,2.23201E-08,-2.78844E-08,9.48505E-08,1.61222E-08,-3.72341E-08,5.93656E-08,2.94873E-08,-4.74481E-08,1.38842E-07,5.00672E-09,-2.53062E-08,4.86651E-08,1.637E-08,-2.0139E-08,9.61081E-08,1.16806E-07,-8.98257E-08,2.66548E-07,1.05502E-07,-9.14903E-08,4.46609E-07,6.22757E-08,-4.06791E-08,2.2997E-07,1.38248E-07,-5.70365E-08,5.15402E-07,2.35884E-08,-9.36414E-08,1.89365E-07,5.22792E-08,-1.0353E-07,3.19875E-07
Andorra,1.01162E-06,-4.58866E-06,3.90918E-06,4.47829E-07,-3.29246E-06,4.86041E-06,7.43891E-07,-2.75283E-06,3.7075E-06,1.3908E-06,-7.28594E-06,8.41475E-06,5.45138E-07,-2.37814E-06,3.37559E-06,3.10917E-07,-2.81819E-06,3.42317E-06,2.56029E-06,-4.50343E-06,8.33253E-06,3.05558E-06,-1.30311E-05,1.47509E-05,1.56551E-06,-1.24884E-05,1.20108E-05,4.47489E-06,-1.96093E-05,2.61355E-05,6.58193E-07,-1.71975E-06,2.99617E-06,2.17791E-06,-6.21757E-06,1.17678E-05,5.44318E-05,-0.000279308,0.000289865,3.548E-05,-0.000176893,0.000276904,3.66389E-05,-0.000153094,0.000192045,4.43049E-05,-0.000267312,0.000332658,1.60451E-05,-0.000121786,0.000121368,6.34475E-06,-6.93742E-05,0.000135748,2.64685E-07,-1.95644E-07,7.57791E-07,2.23962E-07,-3.52884E-07,1.11883E-06,1.55278E-07,-5.05025E-07,5.83548E-07,2.93897E-07,-4.37291E-07,1.49717E-06,6.20461E-08,-2.87883E-07,2.97006E-07,1.77551E-07,-3.308E-07,9.13914E-07,4.37303E-07,-4.45983E-07,1.16786E-06,3.75882E-07,-5.77326E-07,1.69191E-06,2.15788E-07,-3.10891E-07,7.73316E-07,4.91047E-07,-2.53788E-07,2.25496E-06,9.48664E-08,-5.54168E-07,4.41786E-07,2.01209E-07,-4.71909E-07,1.11672E-06
Angola,1.47529E-08,-5.91819E-08,1.51495E-07,4.46296E-09,-6.83179E-08,1.27575E-07,1.22731E-08,-2.34703E-08,9.05601E-08,2.27038E-08,-9.02169E-08,1.95176E-07,6.53565E-09,-3.40711E-08,9.02597E-08,3.54046E-09,-4.46562E-08,9.92153E-08,3.65793E-08,-2.56977E-07,4.63399E-07,4.87356E-08,-2.88908E-07,4.81142E-07,3.68569E-08,-7.09698E-08,2.46861E-07,8.94862E-08,-4.20591E-07,7.5021E-07,8.46273E-09,-4.76323E-08,1.47129E-07,3.07785E-08,-1.90496E-07,3.61757E-07,2.30746E-07,-1.30529E-06,2.74466E-06,1.65388E-07,-1.25837E-06,2.46034E-06,1.58186E-07,-2.84502E-07,1.49272E-06,2.43817E-07,-1.32305E-06,2.69525E-06,4.54613E-08,-4.66914E-07,1.02249E-06,1.51728E-07,-9.40524E-07,1.50374E-06,4.64269E-09,-1.87887E-08,4.78335E-08,4.04696E-09,-1.73571E-08,4.73426E-08,3.24446E-09,-5.5739E-09,2.41498E-08,6.1577E-09,-2.49515E-08,5.15351E-08,9.67367E-10,-6.6283E-09,2.0088E-08,2.89502E-09,-1.39856E-08,3.96685E-08,1.13205E-08,-4.34524E-08,1.07441E-07,9.64174E-09,-4.85712E-08,9.60937E-08,6.02702E-09,-7.15087E-09,4.35939E-08,1.43686E-08,-6.19816E-08,1.31697E-07,2.46717E-09,-1.53082E-08,3.89994E-08,4.35626E-09,-3.01726E-08,6.37271E-08
American Samoa,3.42244E-07,-2.44027E-07,1.06159E-05,1.75724E-07,-3.44145E-07,1.18538E-05,0,0,0,4.41152E-07,-4.03859E-07,1.09582E-05,0,0,0,0,0,0,7.62508E-06,-1.48789E-08,0.00015883,7.48131E-06,-2.85318E-07,0.000176504,0,0,0,1.15119E-05,2.68125E-06,0.000182893,0,0,0,0,0,0,0.000100472,4.04686E-06,0.002561231,8.58546E-05,-1.23471E-05,0.002469238,0,0,0,9.38576E-05,-7.47715E-06,0.002550771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75277E-06,-4.15379E-07,4.80655E-05,1.5196E-06,-3.45212E-07,4.69331E-05,0,0,0,1.93053E-06,2.843E-08,4.75809E-05,0,0,0,0,0,0
