Country name,MedianAnnual cropsMammals,lower 95%Annual cropsMammals,upper 95%Annual cropsMammals,MedianPermanent cropsMammals,lower 95%Permanent cropsMammals,upper 95%Permanent cropsMammals,MedianPastureMammals,lower 95%PastureMammals,upper 95%PastureMammals,MedianUrbanMammals,lower 95%UrbanMammals,upper 95%UrbanMammals,MedianExtensive forestryMammals,lower 95%Extensive forestryMammals,upper 95%Extensive forestryMammals,MedianIntensive forestryMammals,lower 95%Intensive forestryMammals,upper 95%Intensive forestryMammals,MedianAnnual cropsBirds,lower 95%Annual cropsBirds,upper 95%Annual cropsBirds,MedianPermanent cropsBirds,lower 95%Permanent cropsBirds,upper 95%Permanent cropsBirds,MedianPastureBirds,lower 95%PastureBirds,upper 95%PastureBirds,MedianUrbanBirds,lower 95%UrbanBirds,upper 95%UrbanBirds,MedianExtensive forestryBirds,lower 95%Extensive forestryBirds,upper 95%Extensive forestryBirds,MedianIntensive forestryBirds,lower 95%Intensive forestryBirds,upper 95%Intensive forestryBirds,MedianAnnual cropsAmphibians,lower 95%Annual cropsAmphibians,upper 95%Annual cropsAmphibians,MedianPermanent cropsAmphibians,lower 95%Permanent cropsAmphibians,upper 95%Permanent cropsAmphibians,MedianPastureAmphibians,lower 95%PastureAmphibians,upper 95%PastureAmphibians,MedianUrbanAmphibians,lower 95%UrbanAmphibians,upper 95%UrbanAmphibians,MedianExtensive forestryAmphibians,lower 95%Extensive forestryAmphibians,upper 95%Extensive forestryAmphibians,MedianIntensive forestryAmphibians,lower 95%Intensive forestryAmphibians,upper 95%Intensive forestryAmphibians,MedianAnnual cropsReptiles,lower 95%Annual cropsReptiles,upper 95%Annual cropsReptiles,MedianPermanent cropsReptiles,lower 95%Permanent cropsReptiles,upper 95%Permanent cropsReptiles,MedianPastureReptiles,lower 95%PastureReptiles,upper 95%PastureReptiles,MedianUrbanReptiles,lower 95%UrbanReptiles,upper 95%UrbanReptiles,MedianExtensive forestryReptiles,lower 95%Extensive forestryReptiles,upper 95%Extensive forestryReptiles,MedianIntensive forestryReptiles,lower 95%Intensive forestryReptiles,upper 95%Intensive forestryReptiles
Aruba,5.1844E-09,-1.2075E-08,2.23868E-08,2.37399E-09,-1.20775E-08,2.50347E-08,3.53787E-09,-1.23977E-08,1.87834E-08,7.56685E-09,-1.22663E-08,3.22231E-08,2.33637E-09,-1.0733E-08,1.43266E-08,1.78356E-09,-9.90309E-09,1.92461E-08,7.25318E-09,-1.26007E-08,3.01711E-08,9.15282E-09,-1.12536E-08,3.81669E-08,4.14296E-09,-2.97032E-08,3.23396E-08,1.36908E-08,-1.67225E-08,5.7332E-08,1.76677E-09,-2.89689E-09,1.21065E-08,6.09306E-09,-7.52986E-09,2.93168E-08,4.95973E-09,-4.91448E-09,2.11421E-08,4.69108E-09,-5.0908E-09,2.15164E-08,2.96943E-09,-1.09391E-08,1.23304E-08,6.29371E-09,-6.48137E-09,2.68071E-08,1.12556E-09,-5.0769E-09,8.90209E-09,3.59091E-09,-2.97225E-09,2.08903E-08,1.62855E-09,-1.39797E-09,7.57366E-09,1.5595E-09,-9.78055E-10,6.659E-09,8.15084E-10,-1.16565E-09,3.77824E-09,2.14536E-09,-2.2518E-10,8.28262E-09,3.69229E-10,-1.95395E-09,2.62394E-09,8.93506E-10,-1.35726E-09,4.93246E-09
Antigua and Barbuda,1.47998E-08,-9.29789E-09,6.41499E-08,6.18758E-09,-2.44053E-08,6.20661E-08,9.55919E-09,-1.98236E-08,5.52495E-08,2.16146E-08,-4.1078E-09,7.88757E-08,5.9898E-09,-1.88413E-08,4.49168E-08,5.35662E-09,-2.10501E-08,5.29401E-08,2.71089E-08,-1.48501E-08,1.2533E-07,3.54129E-08,-1.42218E-08,1.26587E-07,1.58191E-08,-4.79664E-08,1.11594E-07,5.31414E-08,-1.22477E-08,1.76967E-07,6.48303E-09,-6.74727E-09,5.41306E-08,2.26469E-08,-1.73626E-08,1.05847E-07,1.92721E-08,-1.64693E-08,8.31529E-08,1.88167E-08,-1.49132E-08,8.79285E-08,1.1855E-08,-2.23091E-08,6.30385E-08,2.55995E-08,-1.01878E-08,9.10006E-08,3.91284E-09,-1.37446E-08,4.79436E-08,1.34609E-08,-1.03549E-08,7.63194E-08,5.24973E-09,-3.3912E-09,2.11588E-08,5.08635E-09,-2.23566E-09,2.13988E-08,2.70094E-09,-2.15477E-09,1.55956E-08,6.97733E-09,9.09916E-10,2.11224E-08,1.15374E-09,-2.99748E-09,1.20984E-08,2.8264E-09,-3.38338E-09,1.6763E-08
Afghanistan,9.6231E-10,-1.86858E-09,5.01175E-09,2.73396E-10,-2.25088E-09,4.92146E-09,6.88644E-10,-7.26525E-10,4.26323E-09,1.40297E-09,-2.84472E-09,6.34136E-09,2.89948E-10,-1.79723E-09,2.86711E-09,2.13883E-10,-1.67244E-09,3.33564E-09,4.52968E-10,-1.20303E-09,3.81121E-09,6.44928E-10,-1.49368E-09,4.08514E-09,3.59198E-10,-3.91603E-10,3.20668E-09,9.8843E-10,-2.22702E-09,5.12193E-09,8.84739E-11,-3.61097E-10,1.18228E-09,3.34375E-10,-1.08286E-09,3.09334E-09,3.10015E-10,-3.82511E-10,2.78035E-09,2.74849E-10,-4.41361E-10,2.29669E-09,1.69454E-10,-1.24666E-10,2.34768E-09,4.00772E-10,-4.95256E-10,2.53745E-09,4.01106E-11,-4.15894E-10,1.04747E-09,1.9268E-10,-4.16934E-10,2.12781E-09,2.16697E-10,-5.92631E-10,1.23774E-09,1.94191E-10,-7.29548E-10,1.30681E-09,1.10605E-10,-1.12411E-10,6.86332E-10,2.71984E-10,-1.15846E-09,1.44768E-09,3.51034E-11,-2.71771E-10,5.66265E-10,8.96026E-11,-4.08804E-10,7.4882E-10
Algeria,3.13056E-10,-8.49128E-10,1.70305E-09,9.78975E-11,-7.16747E-10,1.81191E-09,2.51506E-10,-1.45099E-10,9.98707E-10,5.02349E-10,-1.2258E-09,2.35121E-09,8.62898E-11,-3.62035E-10,7.30119E-10,6.19865E-11,-3.95652E-10,8.56298E-10,1.23406E-10,-6.62948E-10,8.46111E-10,1.87883E-10,-8.00444E-10,1.10915E-09,1.19387E-10,-2.79977E-10,5.69166E-10,3.03591E-10,-1.42952E-09,1.61701E-09,2.67099E-11,-1.08453E-10,2.31548E-10,9.44078E-11,-2.65349E-10,5.71447E-10,1.14424E-10,-1.02562E-10,4.6107E-10,1.09225E-10,-1.47635E-10,4.75777E-10,7.33804E-11,-9.45744E-11,4.05093E-10,1.5332E-10,-2.03249E-10,5.34216E-10,2.0222E-11,-7.79838E-11,2.50181E-10,7.32532E-11,-1.04954E-10,3.78791E-10,5.92617E-10,-1.57091E-09,3.35267E-09,5.90564E-10,-1.66115E-09,3.59053E-09,3.36845E-10,-1.50468E-10,1.55834E-09,8.20262E-10,-2.18576E-09,3.89042E-09,9.95835E-11,-6.21563E-10,1.07336E-09,2.62238E-10,-4.74682E-10,1.52224E-09
Azerbaijan,7.11667E-09,-6.36985E-09,2.33894E-08,3.00769E-09,-1.95576E-08,3.32032E-08,5.23605E-09,-1.52608E-08,2.4493E-08,1.03059E-08,-3.13104E-08,4.80754E-08,2.9257E-09,-1.36478E-08,1.96233E-08,2.10741E-09,-2.07931E-08,2.1823E-08,1.00615E-09,-1.79515E-09,4.87214E-09,1.21112E-09,-3.86944E-09,6.62688E-09,7.24054E-10,-4.11573E-09,4.71557E-09,1.82255E-09,-5.73773E-09,1.00513E-08,2.29268E-10,-8.89314E-10,1.64873E-09,8.10535E-10,-2.91743E-09,5.06681E-09,1.34633E-09,-1.33181E-09,3.26712E-09,1.2533E-09,-1.99873E-09,5.56427E-09,8.47208E-10,-2.25798E-09,3.13189E-09,1.70071E-09,-2.70408E-09,6.1919E-09,2.65439E-10,-1.48383E-09,2.28382E-09,8.86475E-10,-1.49047E-09,5.1032E-09,7.25868E-09,-7.29118E-09,1.49869E-08,6.77171E-09,-1.07761E-08,2.69103E-08,3.74662E-09,-4.40712E-09,1.36119E-08,8.97324E-09,-1.02004E-08,3.73096E-08,1.46498E-09,-6.63083E-09,1.17036E-08,3.54642E-09,-6.74584E-09,1.95013E-08
Albania,2.3997E-09,-1.39894E-09,1.09671E-08,1.2069E-09,-3.48561E-09,1.17254E-08,1.72932E-09,-3.72539E-09,1.20095E-08,3.92329E-09,-3.07353E-09,1.61966E-08,1.10303E-09,-3.03008E-09,8.76724E-09,8.48475E-10,-3.99633E-09,9.90247E-09,4.90941E-10,-2.82627E-10,1.94312E-09,7.1094E-10,-2.9486E-10,2.24553E-09,3.41082E-10,-8.60627E-10,2.09861E-09,1.09049E-09,-2.91609E-10,3.12749E-09,1.29022E-10,-1.33642E-10,1.04099E-09,4.38539E-10,-3.56371E-10,1.98256E-09,2.39699E-09,-1.58356E-09,1.21E-08,2.6917E-09,-1.50146E-09,1.38886E-08,1.72356E-09,-3.19658E-09,1.16377E-08,3.6264E-09,-2.20139E-09,1.39148E-08,5.13603E-10,-1.57088E-09,8.08565E-09,1.78357E-09,-1.8348E-09,1.07469E-08,2.55784E-09,-2.38917E-09,1.0563E-08,2.76086E-09,-1.67915E-09,1.28291E-08,1.42005E-09,-1.39367E-09,9.18799E-09,3.63047E-09,-1.7933E-09,1.48701E-08,5.86833E-10,-1.68807E-09,7.0926E-09,1.38308E-09,-1.7341E-09,9.39228E-09
Armenia,1.04592E-08,-9.25181E-09,3.17403E-08,4.18547E-09,-3.03524E-08,4.69901E-08,7.39032E-09,-2.3567E-08,3.39102E-08,1.41502E-08,-5.12707E-08,6.85873E-08,4.27205E-09,-1.97132E-08,2.61815E-08,2.98895E-09,-3.13166E-08,2.80412E-08,1.5637E-09,-3.02604E-09,7.25268E-09,1.75264E-09,-6.41696E-09,1.00194E-08,1.08433E-09,-6.50565E-09,7.04096E-09,2.60202E-09,-9.49822E-09,1.53445E-08,3.34218E-10,-1.42612E-09,2.46387E-09,1.20421E-09,-4.64769E-09,7.67657E-09,1.35826E-09,-1.23843E-09,3.85341E-09,1.23805E-09,-1.68685E-09,6.10041E-09,8.60555E-10,-2.14608E-09,3.1902E-09,1.67455E-09,-2.85476E-09,6.43901E-09,2.77078E-10,-1.10829E-09,2.48618E-09,8.75144E-10,-1.47148E-09,5.29413E-09,1.42797E-08,-1.2832E-08,3.52765E-08,1.35833E-08,-1.92596E-08,5.45731E-08,7.68145E-09,-7.57828E-09,3.08178E-08,1.81717E-08,-1.76198E-08,7.18243E-08,2.92839E-09,-1.21866E-08,2.54971E-08,7.07332E-09,-1.2795E-08,3.90756E-08
Andorra,5.50723E-09,-1.30289E-08,2.18773E-08,2.01321E-09,-2.7508E-08,2.31896E-08,4.05222E-09,-1.94413E-08,1.76643E-08,7.82903E-09,-3.49027E-08,3.83929E-08,2.84368E-09,-8.75023E-09,1.44776E-08,2.04842E-09,-1.05477E-08,2.1049E-08,1.1536E-09,-4.0148E-09,4.78499E-09,1.39653E-09,-8.12E-09,9.0271E-09,7.58764E-10,-7.25261E-09,7.43368E-09,2.00545E-09,-1.0813E-08,1.3189E-08,2.91927E-10,-1.01526E-09,1.40053E-09,9.74323E-10,-4.96162E-09,7.29272E-09,1.76582E-08,-2.28648E-08,6.53795E-08,1.59989E-08,-3.87072E-08,8.03653E-08,1.09095E-08,-4.01159E-08,4.73995E-08,2.15846E-08,-5.07796E-08,9.65768E-08,4.33986E-09,-1.99522E-08,2.01298E-08,1.23085E-08,-2.19679E-08,7.50356E-08,3.46094E-08,-4.03957E-08,1.19419E-07,3.16143E-08,-5.18959E-08,1.32018E-07,1.76357E-08,-2.22395E-08,8.08848E-08,4.22081E-08,-6.32598E-08,2.12448E-07,8.07091E-09,-4.77075E-08,3.46937E-08,1.76022E-08,-3.7604E-08,9.54824E-08
Angola,2.49636E-10,-1.55254E-09,2.6989E-09,8.00174E-11,-1.50824E-09,2.75351E-09,2.19495E-10,-6.14139E-10,1.95195E-09,4.34092E-10,-1.97789E-09,4.1817E-09,1.21024E-10,-7.94619E-10,1.74523E-09,7.79364E-11,-9.19242E-10,2.11279E-09,3.26777E-10,-2.54364E-09,5.66618E-09,5.33937E-10,-3.34515E-09,6.63079E-09,3.61314E-10,-8.79092E-10,2.7947E-09,8.92158E-10,-4.59757E-09,9.34967E-09,8.99823E-11,-5.59321E-10,1.63228E-09,3.24032E-10,-2.08238E-09,4.71531E-09,3.20575E-10,-1.26815E-09,3.54842E-09,3.09924E-10,-1.45798E-09,3.48648E-09,2.46518E-10,-4.12103E-10,1.72927E-09,4.81486E-10,-1.63381E-09,3.91116E-09,6.95533E-11,-5.71597E-10,1.24725E-09,2.2085E-10,-9.34619E-10,3.02632E-09,8.16766E-11,-5.36376E-10,8.09074E-10,8.06254E-11,-5.21156E-10,8.69896E-10,5.12908E-11,-4.74796E-11,3.16238E-10,1.22152E-10,-7.4328E-10,9.52466E-10,1.84362E-11,-1.68541E-10,2.84636E-10,3.80599E-11,-2.5257E-10,4.82793E-10
American Samoa,4.63311E-09,-4.2062E-09,1.37037E-07,2.63418E-09,-3.45031E-09,1.42979E-07,0,0,0,6.12119E-09,-7.73363E-09,1.37228E-07,0,0,0,0,0,0,8.86352E-07,-1.18999E-08,2.80059E-05,9.03556E-07,-3.72148E-08,3.04326E-05,0,0,0,1.27767E-06,2.83984E-07,2.96523E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61288E-07,-5.38132E-08,5.24075E-06,1.46782E-07,-2.64082E-08,5.29102E-06,0,0,0,2.0547E-07,-6.29675E-10,5.0367E-06,0,0,0,0,0,0
