Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QL","Livestock Primary","2","Afghanistan","5510","Production","1163","Meat, game","2011","2011","tonnes","8000","","Official data",""
"QL","Livestock Primary","7","Angola","5510","Production","1163","Meat, game","2011","2011","tonnes","8940","F","FAO estimate",""
"QL","Livestock Primary","9","Argentina","5510","Production","1163","Meat, game","2011","2011","tonnes","50000","F","FAO estimate",""
"QL","Livestock Primary","11","Austria","5510","Production","1163","Meat, game","2011","2011","tonnes","6200","","Official data",""
"QL","Livestock Primary","53","Benin","5510","Production","1163","Meat, game","2011","2011","tonnes","8000","F","FAO estimate",""
"QL","Livestock Primary","20","Botswana","5510","Production","1163","Meat, game","2011","2011","tonnes","23200","F","FAO estimate",""
"QL","Livestock Primary","233","Burkina Faso","5510","Production","1163","Meat, game","2011","2011","tonnes","6400","F","FAO estimate",""
"QL","Livestock Primary","32","Cameroon","5510","Production","1163","Meat, game","2011","2011","tonnes","66500","F","FAO estimate",""
"QL","Livestock Primary","37","Central African Republic","5510","Production","1163","Meat, game","2011","2011","tonnes","20000","F","FAO estimate",""
"QL","Livestock Primary","39","Chad","5510","Production","1163","Meat, game","2011","2011","tonnes","4500","F","FAO estimate",""
"QL","Livestock Primary","351","China","5510","Production","1163","Meat, game","2011","2011","tonnes","7400","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"QL","Livestock Primary","96","China, Hong Kong SAR","5510","Production","1163","Meat, game","2011","2011","tonnes","7400","F","FAO estimate",""
"QL","Livestock Primary","46","Congo","5510","Production","1163","Meat, game","2011","2011","tonnes","41000","F","FAO estimate",""
"QL","Livestock Primary","107","Côte d'Ivoire","5510","Production","1163","Meat, game","2011","2011","tonnes","140070","Im","FAO data based on imputation methodology",""
"QL","Livestock Primary","50","Cyprus","5510","Production","1163","Meat, game","2011","2011","tonnes","548","","Official data",""
"QL","Livestock Primary","167","Czechia","5510","Production","1163","Meat, game","2011","2011","tonnes","1100","F","FAO estimate",""
"QL","Livestock Primary","250","Democratic Republic of the Congo","5510","Production","1163","Meat, game","2011","2011","tonnes","88937","Im","FAO data based on imputation methodology",""
"QL","Livestock Primary","54","Denmark","5510","Production","1163","Meat, game","2011","2011","tonnes","3523","","Official data",""
"QL","Livestock Primary","238","Ethiopia","5510","Production","1163","Meat, game","2011","2011","tonnes","85000","F","FAO estimate",""
"QL","Livestock Primary","74","Gabon","5510","Production","1163","Meat, game","2011","2011","tonnes","25500","F","FAO estimate",""
"QL","Livestock Primary","75","Gambia","5510","Production","1163","Meat, game","2011","2011","tonnes","1280","F","FAO estimate",""
"QL","Livestock Primary","79","Germany","5510","Production","1163","Meat, game","2011","2011","tonnes","69456","Im","FAO data based on imputation methodology",""
"QL","Livestock Primary","81","Ghana","5510","Production","1163","Meat, game","2011","2011","tonnes","74300","F","FAO estimate",""
"QL","Livestock Primary","90","Guinea","5510","Production","1163","Meat, game","2011","2011","tonnes","5800","F","FAO estimate",""
"QL","Livestock Primary","102","Iran (Islamic Republic of)","5510","Production","1163","Meat, game","2011","2011","tonnes","7625","Im","FAO data based on imputation methodology",""
"QL","Livestock Primary","114","Kenya","5510","Production","1163","Meat, game","2011","2011","tonnes","26000","F","FAO estimate",""
"QL","Livestock Primary","122","Lesotho","5510","Production","1163","Meat, game","2011","2011","tonnes","5200","F","FAO estimate",""
"QL","Livestock Primary","123","Liberia","5510","Production","1163","Meat, game","2011","2011","tonnes","8000","F","FAO estimate",""
"QL","Livestock Primary","126","Lithuania","5510","Production","1163","Meat, game","2011","2011","tonnes","100","F","FAO estimate",""
"QL","Livestock Primary","256","Luxembourg","5510","Production","1163","Meat, game","2011","2011","tonnes","350","","Official data",""
"QL","Livestock Primary","129","Madagascar","5510","Production","1163","Meat, game","2011","2011","tonnes","7200","F","FAO estimate",""
"QL","Livestock Primary","133","Mali","5510","Production","1163","Meat, game","2011","2011","tonnes","23700","F","FAO estimate",""
"QL","Livestock Primary","137","Mauritius","5510","Production","1163","Meat, game","2011","2011","tonnes","625","","Official data",""
"QL","Livestock Primary","143","Morocco","5510","Production","1163","Meat, game","2011","2011","tonnes","47000","F","FAO estimate",""
"QL","Livestock Primary","147","Namibia","5510","Production","1163","Meat, game","2011","2011","tonnes","6500","F","FAO estimate",""
"QL","Livestock Primary","150","Netherlands","5510","Production","1163","Meat, game","2011","2011","tonnes","","M","Data not available",""
"QL","Livestock Primary","156","New Zealand","5510","Production","1163","Meat, game","2011","2011","tonnes","22920","","Official data",""
"QL","Livestock Primary","158","Niger","5510","Production","1163","Meat, game","2011","2011","tonnes","27500","F","FAO estimate",""
"QL","Livestock Primary","159","Nigeria","5510","Production","1163","Meat, game","2011","2011","tonnes","163000","F","FAO estimate",""
"QL","Livestock Primary","162","Norway","5510","Production","1163","Meat, game","2011","2011","tonnes","7930","","Official data",""
"QL","Livestock Primary","168","Papua New Guinea","5510","Production","1163","Meat, game","2011","2011","tonnes","380000","F","FAO estimate",""
"QL","Livestock Primary","170","Peru","5510","Production","1163","Meat, game","2011","2011","tonnes","7700","F","FAO estimate",""
"QL","Livestock Primary","173","Poland","5510","Production","1163","Meat, game","2011","2011","tonnes","10000","F","FAO estimate",""
