Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TP","Crops and livestock products","3","Albania","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","2","","Official data",""
"TP","Crops and livestock products","9","Argentina","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","10","Australia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","11","Austria","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","3550","","Official data",""
"TP","Crops and livestock products","11","Austria","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","2535","","Official data",""
"TP","Crops and livestock products","52","Azerbaijan","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","","Official data",""
"TP","Crops and livestock products","12","Bahamas","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","16","F","FAO estimate",""
"TP","Crops and livestock products","13","Bahrain","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","1","","Official data",""
"TP","Crops and livestock products","16","Bangladesh","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","16","Bangladesh","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","255","Belgium","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","6059","","Official data",""
"TP","Crops and livestock products","255","Belgium","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","4223","","Official data",""
"TP","Crops and livestock products","17","Bermuda","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","","M","Data not available",""
"TP","Crops and livestock products","80","Bosnia and Herzegovina","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","20","Botswana","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","20","Botswana","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","27","Bulgaria","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","22","","Official data",""
"TP","Crops and livestock products","27","Bulgaria","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","35","Cabo Verde","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","11","","Official data",""
"TP","Crops and livestock products","35","Cabo Verde","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","32","Cameroon","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","33","Canada","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","39","Chad","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","39","Chad","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","351","China","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","84","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","351","China","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","A","Aggregate, may include official, semi-official, estimated or calculated data",""
"TP","Crops and livestock products","96","China, Hong Kong SAR","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","96","China, Hong Kong SAR","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","128","China, Macao SAR","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","214","China, Taiwan Province of","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","84","","Official data",""
"TP","Crops and livestock products","50","Cyprus","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","5","","Official data",""
"TP","Crops and livestock products","50","Cyprus","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","6","","Official data",""
"TP","Crops and livestock products","167","Czechia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","320","","Official data",""
"TP","Crops and livestock products","167","Czechia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","747","","Official data",""
"TP","Crops and livestock products","54","Denmark","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","772","","Official data",""
"TP","Crops and livestock products","54","Denmark","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","95","","Official data",""
"TP","Crops and livestock products","58","Ecuador","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","3","","Official data",""
"TP","Crops and livestock products","63","Estonia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","61","","Official data",""
"TP","Crops and livestock products","63","Estonia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","188","","Official data",""
"TP","Crops and livestock products","238","Ethiopia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","64","Faroe Islands","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","5","R","Estimated data using trading partners database",""
"TP","Crops and livestock products","67","Finland","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","486","","Official data",""
"TP","Crops and livestock products","67","Finland","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","27","","Official data",""
"TP","Crops and livestock products","68","France","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","8069","","Official data",""
"TP","Crops and livestock products","68","France","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","3125","","Official data",""
"TP","Crops and livestock products","74","Gabon","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","3","R","Estimated data using trading partners database",""
"TP","Crops and livestock products","75","Gambia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","*","Unofficial figure",""
"TP","Crops and livestock products","73","Georgia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","50","","Official data",""
"TP","Crops and livestock products","79","Germany","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","19186","","Official data",""
"TP","Crops and livestock products","79","Germany","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","5605","","Official data",""
"TP","Crops and livestock products","84","Greece","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","328","","Official data",""
"TP","Crops and livestock products","84","Greece","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","13","","Official data",""
"TP","Crops and livestock products","90","Guinea","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","93","Haiti","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","97","Hungary","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","17","","Official data",""
"TP","Crops and livestock products","97","Hungary","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","1759","","Official data",""
"TP","Crops and livestock products","101","Indonesia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","15","","Official data",""
"TP","Crops and livestock products","104","Ireland","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","307","","Official data",""
