Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","2","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","2.14","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","0.94","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.18","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","8.85","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","4.76","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","2.77","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","5.01","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","3","Albania","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.02","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","1.98","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","2.62","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","0","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","2.28","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","4","Algeria","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.15","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","2.99","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.45","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","2.2","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","5.16","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","7","Angola","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.22","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","5.76","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.75","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","3.18","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","18.62","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.25","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","27.02","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2732","Mutton & Goat Meat","2011","2011","g/capita/day","0.61","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2733","Pigmeat","2011","2011","g/capita/day","2.67","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2011","2011","g/capita/day","12.33","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","9","Argentina","674","Protein supply quantity (g/capita/day)","2735","Meat, Other","2011","2011","g/capita/day","0.59","Fc","Calculated data"
"FBSH","Food Balances (old methodology and population)","1","Armenia","674","Protein supply quantity (g/capita/day)","2731","Bovine Meat","2011","2011","g/capita/day","7.47","Fc","Calculated data"
