Country,ISO,FS_score,FS_rank
Singapore,SGP,87.4,1
USA,USA,83.7,3
Qatar,QAT,81.2,13
Republic of Korea,KOR,73.6,29
Russian Federation,RUS,69.7,42
Oman,OMN,68.4,46
Bahrain,BHR,66.6,50
Viet Nam,VNM,64.6,54
Bolivia,BOL,57.7,75
Cote d'Ivoire,CIV,52.3,84
Laos,LAO,49.1,92
Tanzania,TZA,47.6,96
Sudan,SDN,45.7,99
Syria,SYR,38.4,107
DR Congo,COD,35.7,110
Burundi,BDI,34.3,112
Venezuela,VEN,31.2,113
Zambia,ZMB,44.4,101
South Africa,ZAF,67.3,48
Yemen,YEM,35.6,111
Uzbekistan,UZB,59.0,71
Uruguay,URY,72.8,33
Ukraine,UKR,57.1,76
Uganda,UGA,46.2,98
Turkey,TUR,69.8,41
Tunisia,TUN,60.1,69
Tajikistan,TJK,49.0,93
Thailand,THA,65.1,52
Togo,TGO,44.0,102
Chad,TCD,36.9,109
Sweden,SWE,82.7,7
Slovakia,SVK,68.3,47
Serbia,SRB,62.8,59
El Salvador,SLV,60.7,67
Sierra Leone,SLE,39.0,106
Senegal,SEN,54.3,81
Saudi Arabia,SAU,73.5,30
Rwanda,RWA,48.2,95
Romania,ROU,70.2,38
Paraguay,PRY,57.9,74
Portugal,PRT,77.8,20
Poland,POL,75.6,24
Philippines,PHL,61.0,64
Peru,PER,63.3,58
Panama,PAN,68.8,45
Pakistan,PAK,56.8,78
New Zealand,NZL,78.8,19
Nepal,NPL,56.4,79
Norway,NOR,82.9,5
Netherlands,NLD,82.0,9
Nicaragua,NIC,54.2,82
Nigeria,NGA,48.4,94
Niger,NER,49.6,89
Malaysia,MYS,73.8,28
Malawi,MWI,42.5,104
Mozambique,MOZ,41.4,105
Myanmar,MMR,57.0,77
Mali,MLI,54.4,80
Mexico,MEX,69.4,=43
Madagascar,MDG,37.9,108
Morocco,MAR,62.8,59
Sri Lanka,LKA,60.8,66
Kuwait,KWT,74.8,27
Cambodia,KHM,49.4,90
Kenya,KEN,50.7,86
Kazakhstan,KAZ,67.3,48
Japan,JPN,76.5,21
Jordan,JOR,61.0,64
Italy,ITA,75.8,23
Israel,ISR,79.0,18
Ireland,IRL,84.0,2
India,IND,58.9,72
Indonesia,IDN,62.6,62
Hungary,HUN,72.7,34
Haiti,HTI,43.3,103
Honduras,HND,58.0,73
Guatemala,GTM,60.6,68
Greece,GRC,73.4,31
Guinea,GIN,46.7,97
Ghana,GHA,62.8,59
United Kingdom,GBR,79.1,17
France,FRA,80.4,16
Finland,FIN,82.9,5
Ethiopia,ETH,49.2,91
Spain,ESP,75.5,25
Egypt,EGY,64.5,55
Ecuador,ECU,61.8,63
Algeria,DZA,59.8,70
Dominican Republic,DOM,64.2,56
Denmark,DNK,81.0,14
Germany,DEU,81.5,11
Czech Republic,CZE,73.1,32
Costa Rica,CRI,70.1,39
Colombia,COL,69.4,=43
Cameroon,CMR,49.9,88
China,CHN,71.0,35
Chile,CHL,75.5,25
Switzerland,CHE,83.1,4
Canada,CAN,82.4,8
Botswana,BWA,63.8,57
Brazil,BRA,70.1,39
Belarus,BLR,70.9,36
Bulgaria,BGR,66.2,51
Bangladesh,BGD,53.2,83
Burkina Faso,BFA,50.1,87
Benin,BEN,51.0,85
Belgium,BEL,80.7,15
Azerbaijan,AZE,64.8,53
Austria,AUT,81.7,10
Australia,AUS,81.4,12
Argentina,ARG,70.8,37
United Arab Emirates,ARE,76.5,21
Angola,AGO,45.5,100
