Country Name,ISO3,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,0.627471993,-2.372065243,0.421440919,0.474763597,-0.931195987,-1.028281788,3.626041414,4.257462043
Afghanistan,AFG,6.441212809,7.385771784,4.673996035,-0.661709165,4.383891955,4.975951506,,
Angola,AGO,10.27790492,8.777814293,7.280387304,-21.53169352,32.37773407,31.69168614,20.19037379,17.14531994
Albania,ALB,2.03159594,1.937617549,1.625865044,1.896174026,1.275431684,1.986661332,2.028059631,1.41109079
Andorra,AND,,,,,,,,
Arab World,ARB,4.611844322,3.238108339,2.772885257,1.814077239,2.068840361,1.966825578,2.753528204,1.336015681
United Arab Emirates,ARE,0.6622689,1.101118364,2.346268657,4.069966084,1.617488089,1.966825578,3.068633793,-1.931081148
Argentina,ARG,,,,,,,34.27722371,53.54830435
Armenia,ARM,2.558020078,5.789667785,2.981308689,3.731691193,-1.403607559,0.969553269,2.52023382,1.443446608
American Samoa,ASM,,,,,,,,
Antigua and Barbuda,ATG,3.376880443,1.059497824,1.089441574,0.968993459,-0.489437796,2.43248789,1.207157934,
Australia,AUS,1.762780156,2.449888641,2.487922705,1.508366722,1.276990945,1.948647409,1.911400944,1.610767873
Austria,AUT,2.485673529,2.000158912,1.605804145,0.896565316,0.891592367,2.081268583,1.998381877,1.530895534
Azerbaijan,AZE,1.068103014,2.418869884,1.389726358,4.009438267,12.44949552,12.93998411,2.263516857,2.608339565
Burundi,BDI,18.16104531,7.937958075,4.405352342,5.544688913,5.557689614,16.0525353,-2.814698077,-0.686772171
Belgium,BEL,2.839663434,1.11309594,0.340002833,0.561429153,1.973852647,2.12597086,2.053164999,1.43681957
Benin,BEN,,,,,,,,
Burkina Faso,BFA,3.818152403,0.533738507,-0.258089518,0.724838981,0.441041448,1.482998972,1.955943027,-3.23338934
Bangladesh,BGD,6.217504221,7.530406409,6.991638892,6.19428023,5.513525727,5.702070157,5.543621395,5.591996399
Bulgaria,BGR,2.954568298,0.890093541,-1.418183803,-0.104633261,-0.79874909,2.064355063,2.811868406,3.103729448
Bahrain,BHR,2.758286056,3.301006139,2.646291465,1.839519875,2.800594698,1.38734376,2.084812496,
"Bahamas, The",BHS,1.97336756,1.034670351,1.183177822,1.878438324,-0.330038396,1.499926233,2.267515101,
Bosnia and Herzegovina,BIH,2.05267452,-0.093045684,-0.897194054,-1.036023034,-1.5841,0.810133322,1.41710814,0.562782154
Belarus,BLR,59.21973602,18.31226104,18.11955435,13.53448976,11.83658077,6.031837252,4.872302206,5.59815595
Belize,BLZ,,,,,,,,
Bermuda,BMU,,,,,,,,
Bolivia,BOL,4.515602914,5.736400237,5.766600746,4.059610411,3.623214318,2.822758055,2.272059872,1.83954505
Brazil,BRA,5.40349914,6.204310666,6.329040155,9.029901024,8.739143523,3.44637335,3.664850284,3.732976212
Barbados,BRB,4.533347539,1.81410436,1.769503221,-1.112789925,1.281928131,4.66018464,3.673814104,4.100289645
Brunei Darussalam,BRN,0.111766261,0.389205053,-0.207108732,-0.488347421,-0.278693266,-1.260505646,1.025051793,-0.390522069
Bhutan,BTN,10.91965694,7.006666667,8.271060939,4.548143951,3.219886894,4.95508367,2.723963862,2.725821043
Botswana,BWA,7.536902611,5.884607071,4.402253092,3.062031696,2.814957914,3.308280768,3.238015589,2.772864429
Central African Republic,CAF,,,,,,,,
Canada,CAN,1.515678231,0.938291898,1.906635907,1.125241361,1.428759547,1.596884129,2.268225672,1.949269024
Central Europe and the Baltics,CEB,3.334922677,1.438297872,0.053821313,-0.464499005,-0.054999542,2.075935537,2.534454242,2.664561334
Switzerland,CHE,-0.692545842,-0.217308518,-0.01322916,-1.143900644,-0.434607639,0.533795988,0.936313303,0.362916005
Channel Islands,CHI,,,,,,,,
Chile,CHL,3.007448402,1.78955554,4.718675279,4.348773532,3.786193559,2.182718469,2.434889814,2.557544757
China,CHN,2.619526165,2.621049027,1.921643416,1.437024514,2,1.593137255,2.074788902,2.899235799
Cote d'Ivoire,CIV,1.304511199,2.581170373,0.448682077,1.251499548,0.723178458,0.685881065,0.439062777,-0.88393011
Cameroon,CMR,2.735296775,2.05034718,1.854898504,2.676235314,0.874190383,0.64040915,1.068858113,2.452802141
"Congo, Dem. Rep.",COD,9.721828063,0.808223101,1.243038898,0.744198995,2.885851073,,,
"Congo, Rep.",COG,5.010187731,4.631616197,0.912139545,3.169097968,3.190561797,0.450063823,1.152778964,2.206073058
Colombia,COL,3.167325603,2.018098479,2.897818744,4.990234275,7.514293228,4.312141032,3.240234138,3.525492736
Comoros,COM,6.314744503,-4.294873315,,,,,,
Cabo Verde,CPV,2.540396442,1.506542857,-0.238778145,0.131187999,-1.407816371,0.784415251,1.256995667,1.106666565
Costa Rica,CRI,4.495378139,5.231241344,4.519380809,0.801946649,-0.017551757,1.625707485,2.221215313,2.096202566
Caribbean small states,CSS,2.987662292,1.289501965,1.136309698,-0.679637508,0.488912144,1.892520278,1.282842884,
Cuba,CUB,,,,,,,,
Curacao,CUW,3.183987463,1.332320862,1.498739696,-0.47654205,-0.047207985,1.585588017,2.583687566,2.622207834
Cayman Islands,CYM,1.188948452,2.160611468,1.273979115,-2.347527702,-0.625258359,,,
Cyprus,CYP,2.3890541,-0.399357676,-1.354988854,-2.096997691,-1.429166667,0.531766496,1.435491195,0.250370997
Czech Republic,CZE,3.287623066,1.438297872,0.34398859,0.309364548,0.683504209,2.450533985,2.149494949,2.847875959
Germany,DEU,2.008490922,1.50472098,0.906797949,0.51442054,0.491748625,1.509496558,1.732167661,1.445667015
Djibouti,DJI,3.731209508,2.706032429,1.341864943,-0.847389734,2.738412087,0.568112117,0.14797085,3.319253727
Dominica,DMA,1.356771478,-0.046411647,0.799250373,-0.843826985,0.141816226,0.296252889,0.989191119,
Denmark,DNK,2.397914857,0.78907178,0.56402054,0.452034154,0.25,1.14713217,0.813609467,0.758131573
Dominican Republic,DOM,3.694549458,4.830950967,2.998642261,0.836746347,1.614166072,3.279556947,3.56443426,1.81060377
Algeria,DZA,8.891450911,3.25423911,2.916926921,4.784447007,6.397694803,5.59111591,4.269990205,1.951768211
East Asia & Pacific (excluding high income),EAP,3.026963911,2.913541936,3.142990509,1.221270061,1.798457463,2.987725468,3.329910633,2.762520194
Early-demographic dividend,EAR,5.018041554,4.827787055,4.129243069,3.09551722,3.371530035,3.463185945,4.129311137,2.772864429
East Asia & Pacific,EAS,3.014899503,2.582687661,2.510876333,0.78951789,1.265344873,1.850787675,2.432841176,1.703978632
