Product,Arable,Fallow,Perm Past,Land_total_m_kg
Wheat & Rye (Bread),2.55,0.93,0,3.48
Maize (Meal),1.17,0.46,0,1.63
Barley (Beer),0.67,0.27,0,0.94
Oatmeal,3.41,1.35,0,4.77
Rice,2.09,0.31,0,2.4
Potatoes,0.5,0.15,0,0.64
Cassava,0.93,0.32,0,1.25
Cane Sugar,1.21,0.38,0,1.59
Beet Sugar,1.16,0.27,0,1.43
Other Pulses,9.85,3.77,0,13.62
Peas,5.35,1.38,0,6.74
Nuts,4.68,0.4,0,5.08
Groundnuts,5.8,1.17,0,6.97
Soymilk,0.46,0.13,0,0.59
Tofu,2.47,0.68,0,3.15
Soybean Oil,7.82,2.36,0,10.17
Palm Oil,2.26,0.18,0,2.44
Sunflower Oil,13.58,3.61,0,17.19
Rapeseed Oil,8.46,2.09,0,10.55
Olive Oil,27.21,1.09,0,28.3
Tomatoes,0.33,0.18,0,0.51
Onions & Leeks,0.22,0.07,0,0.29
Root Vegetables,0.23,0.03,0,0.26
Brassicas,0.3,0.15,0,0.45
Other Vegetables,0.22,0.09,0,0.31
Citrus Fruit,0.64,0.04,0,0.68
Bananas,1.23,0,0,1.23
Apples,0.47,0.03,0,0.49
Berries & Grapes,0.74,0.9,0,1.64
Wine,1.55,0,0,1.55
Other Fruit,0.47,0.15,0,0.61
Coffee,10.68,1.04,0,11.72
Dark Chocolate,18.63,5.06,0,23.69
Bovine Meat (beef herd),20.51,5.07,168.09,193.67
Bovine Meat (dairy herd),10.1,1.97,13.67,25.73
Lamb & Mutton,9.29,1.67,212.35,223.31
Pig Meat,7.88,2.23,0.04,10.16
Poultry Meat,5.66,1.83,0,7.49
Milk,1.33,0.4,6.28,8
Cheese,12.1,3.66,64.88,80.64
Eggs,4.65,1.4,0,6.05
Fish (farmed),2.67,0.71,0,3.38
Crustaceans (farmed),1.2,0.23,0,1.43
Cereals & Oilcrops Misc.,2.16,0.8,0,
Oils Misc.,8.24,1.87,0,
Sweeteners & Honey,0,0,0,
Stimulants & Spices Misc.,10.02,2.33,0,
Animal Fats,6.86,2.05,0.02,
Buffalo,15.96,3.71,100.69,
"Butter, Cream & Ghee",1.33,0.4,6.28,
Fish & Crustaceans (capture),0,0,0,
Aquatic Plants,0,0,0,
