ISO3,Pop
AFG,38928346
BMU,62278
KHM,16718965
TCD,16425864
GAB,2225734
KIR,119449
LSO,2142249
LBR,5057681
MMR,54409800
NDA,227049
PRK,25778816
WSM,198414
STP,219159
SLE,7976983
SLB,686884
SOM,15893222
TLS,1318445
TGO,8278724
TKM,6031200
UGA,45741007
VUT,307145
VNM,97338579
ZMB,18383955
CIV,26378274
BWA,2351627
COG,5518087
CMR,26545863
RWA,12952218
GHA,31072940
ETH,114963588
ZWE,14862924
CAF,4829767
NER,24206644
NGA,206139589
GMB,2416668
NAM,2540905
MLI,20250833
GIN,13132795
TZA,59734218
KEN,53771296
BEN,12123200
MAR,36910560
,
BFA,20903273
MDG,27691018
SWE,10099265
NZL,4822233
ZAF,59308690
AGO,32866272
PER,32971854
ARG,45195774
SDN,43849260
DEU,83783942
MUS,1271768
NOR,5421241
DNK,5792202
CHE,8654622
AUT,9006398
USA,331002651
CYP,1207359
PRT,10196709
IRN,83992949
LUX,625978
ROU,19237691
SVK,5459642
BEL,11589623
NLD,17134872
URY,3473730
TUN,11818619
POL,37846611
FIN,5540720
ESP,46754778
GBR,67886011
FRA,65273511
CZE,10708981
ITA,60461826
IRL,4937786
LTU,2722289
SEN,16743927
SVN,2078938
GRC,10423054
MLT,441543
CHN,1439323776
ARE,9890402
BGR,6948445
KAZ,18776707
RUS,145934462
BGD,164689383
IDN,273523615
NPL,29136808
YEM,29825964
HTI,11402528
THA,69799978
GEO,3989167
MRT,4649658
BIH,3280819
AZE,10139177
MDA,4033963
KGZ,6524195
LBN,6825445
ALB,2877797
SRB,8737371
JOR,10203134
CPV,555987
EST,1326535
KOR,51269185
ECU,17643054
LVA,1886198
SAU,34813871
HUN,9660351
CAN,37742154
KWT,4270571
BHS,393244
AUS,25499884
IND,1380004385
MOZ,31255435
MWI,19129952
LKA,21413249
LBY,6871292
TJK,9537645
DJI,988000
GNB,1968001
PAK,220892340
LAO,7275560
IRQ,40222493
DZA,43851044
SWZ,1136000
MDV,540544
EGY,102334404
NIC,6624554
SLV,6486205
GTM,17915568
PHL,109581078
UZB,33469203
MKD,2083374
TUR,84339067
HND,9904607
ARM,2963243
GUY,786552
FJI,896445
UKR,43733762
JPN,126476461
CUB,11326616
COL,50882891
BLZ,397628
CRI,5094118
MYS,32365999
DOM,10847910
HRV,4105267
PRY,7132538
GRD,112523
SUR,586632
DMA,71986
JAM,2961167
MEX,128932753
SYR,17500658
MNE,628066
PSE,5101414
TTO,1399488
PAN,4314767
BOL,11673021
BLR,9449323
BRB,287375
NCL,285498
KNA,53199
BRN,437479
MNG,3278290
CHL,19116201
VEN,28435940
LCA,183627
ATG,97929
ISL,341243
BRA,212559417
VCT,110940
PYF,280908
ISR,8655535
