ISO3,COUNTRY,Population (2020),Days in year,Game_median_g_capita_day,Game_low95_g_capita_day,Game_high95_g_capita_day,Game_median_kg_country_year,AllMeat_median_kg_country_year,Perc_game,BovineMeat_median_g_capita_day,MuttonGoatMeat_median_g_capita_day,PigMeat_median_g_capita_day,PoultryMeat_median_g_capita_day,BirdMeatNES_median_g_capita_day,HorseMeat_median_g_capita_day,RabbitMeat_median_g_capita_day,RodentMeat_median_g_capita_day,CamelidMeat_median_g_capita_day,MeatDriedNES_median_g_capita_day,MeatNES_median_g_capita_day,SnailNotSeaMeat_median_g_capita_day
AFG,Afghanistan,38928346,365.15,,,,,,,,,,,,,,,,,,
AGO,Angola,32866272,365.15,0.36732,0.36732,0.36732,4408251.112,369266637.7,1.193785374,2.0323,0.38693,2.3196,5.1853,0,0,0,0,0,0,0,0
ALB,Albania,2877797,365.15,,,,,40206134.16,0,3.686,2.528,2.3353,4.335,0,0,0,0,0,0,0,0
ARE,United Arab Emirates,9890402,365.15,0.0024813,0.0022425,0.0025995,8961.166044,175152483.4,0.005116208,1.3883,2.7502,0,12.7335,0,0,0,0,0,0.0085734,0.011438,0
ARG,Argentina,45195774,365.15,0.82402,0.82402,0.82402,13598997.25,1565186053,0.86884222,17.2397,0.51251,3.0732,11.037,0,0.093184,0.050653,0,0,0,0.00024092,0
ARM,Armenia,2963243,365.15,,,,0,,,4.9613,1.0309,1.5884,4.7132,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,97929,365.15,,,,0,,,3.9757,1.4801,4.2596,18.3856,0,0,0,0,0,0,0,0
AUS,Australia,25499884,365.15,,,,,983761872.3,0,10.9155,4.0834,5.6066,14.5794,0,0.79609,0,0,0,0,0,0
AUT,Austria,9006398,365.15,0.52131,0.47115,0.54616,1714425.018,275069294.7,0.623270227,4.6654,0.41162,16.3614,6.2035,0,0.029326,0.035761,0,0,0.083339,0.0019503,0
AZE,Azerbaijan,10139177,365.15,,,,,107604335,0,3.5058,2.9469,0.084875,3.1648,0,0,0,0,0,0,0,0
BEL,Belgium,11589623,365.15,0.10164,0.091856,0.10648,430135.4832,266433791,0.161441791,4.3452,0.54275,8.5117,7.4061,0,0.34181,0.0033936,0,0,0.22348,0.023137,0
BEN,Benin,12123200,365.15,0.68129,0.68129,0.68129,3015925.361,86001700.5,3.506820613,0.90608,0.30528,0.26652,4.2127,0,0,0.0015127,0,0,0.0033695,0.00070006,0
BFA,Burkina Faso,20903273,365.15,0.33325,0.33325,0.33325,2543640.643,119503542.4,2.128506479,2.2495,1.1821,0.58283,0.81338,0,0.013446,0,0,0,0,0,0
