Continent_Name,Continent_Code,ISO2,ISO3,Country_Number
Asia,AS,AF,AFG,4
Europe,EU,AL,ALB,8
Antarctica,AN,AQ,ATA,10
Africa,AF,DZ,DZA,12
Oceania,OC,AS,ASM,16
Europe,EU,AD,AND,20
Africa,AF,AO,AGO,24
North America,NA,AG,ATG,28
Europe,EU,AZ,AZE,31
Asia,AS,AZ,AZE,31
South America,SA,AR,ARG,32
Oceania,OC,AU,AUS,36
Europe,EU,AT,AUT,40
North America,NA,BS,BHS,44
Asia,AS,BH,BHR,48
Asia,AS,BD,BGD,50
Europe,EU,AM,ARM,51
Asia,AS,AM,ARM,51
North America,NA,BB,BRB,52
Europe,EU,BE,BEL,56
North America,NA,BM,BMU,60
Asia,AS,BT,BTN,64
South America,SA,BO,BOL,68
Europe,EU,BA,BIH,70
Africa,AF,BW,BWA,72
Antarctica,AN,BV,BVT,74
South America,SA,BR,BRA,76
North America,NA,BZ,BLZ,84
Asia,AS,IO,IOT,86
Oceania,OC,SB,SLB,90
North America,NA,VG,VGB,92
Asia,AS,BN,BRN,96
Europe,EU,BG,BGR,100
Asia,AS,MM,MMR,104
Africa,AF,BI,BDI,108
Europe,EU,BY,BLR,112
Asia,AS,KH,KHM,116
Africa,AF,CM,CMR,120
North America,NA,CA,CAN,124
Africa,AF,CV,CPV,132
North America,NA,KY,CYM,136
Africa,AF,CF,CAF,140
Asia,AS,LK,LKA,144
Africa,AF,TD,TCD,148
South America,SA,CL,CHL,152
Asia,AS,CN,CHN,156
Asia,AS,TW,TWN,158
Asia,AS,CX,CXR,162
Asia,AS,CC,CCK,166
South America,SA,CO,COL,170
Africa,AF,KM,COM,174
Africa,AF,YT,MYT,175
Africa,AF,CG,COG,178
Africa,AF,CD,COD,180
Oceania,OC,CK,COK,184
North America,NA,CR,CRI,188
Europe,EU,HR,HRV,191
North America,NA,CU,CUB,192
Europe,EU,CY,CYP,196
Asia,AS,CY,CYP,196
Europe,EU,CZ,CZE,203
Africa,AF,BJ,BEN,204
Europe,EU,DK,DNK,208
