"ISO3","country","plot_country","food_security_rank","percent_game_pppd","biodiversity_loss","total_risk_category"
"AFG","Afghanistan",NA,NA,Inf,0,"3"
"BMU","Bermuda",NA,NA,NA,0,NA
"KHM","Cambodia",NA,90,NA,0,NA
"TCD","Chad",NA,109,Inf,0,"2"
"GAB","Gabon",NA,NA,Inf,0,"1"
"KIR","Kiribati",NA,NA,NA,0,NA
"LSO","Lesotho",NA,NA,Inf,0,NA
"LBR","Liberia",NA,NA,Inf,0,"1"
"MMR","Myanmar",NA,77,NA,0,NA
"NDA","Netherlands Antilles",NA,NA,NA,0,NA
"PRK","Democratic People's Republic of Korea",NA,NA,NA,0,NA
"WSM","Samoa",NA,NA,NA,0,NA
"STP","Sao Tome and Principe",NA,NA,NA,0,NA
"SLE","Sierra Leone",NA,106,Inf,0,"1"
"SLB","Solomon Islands",NA,NA,NA,0,NA
"SOM","Somalia",NA,NA,NA,0,NA
"TLS","Timor-Leste",NA,NA,NA,0,NA
"TGO","Togo",NA,102,Inf,0,"2"
"TKM","Turkmenistan",NA,NA,NA,0,NA
"UGA","Uganda",NA,98,NA,0,NA
"VUT","Vanuatu",NA,NA,NA,0,NA
"VNM","Viet Nam",NA,54,NA,0,NA
"ZMB","Zambia",NA,101,Inf,0,"3"
"CIV","Cote d'Ivoire","Côte d'Ivoire",84,73.4055788083443,39.8923684908351,"3"
"BWA","Botswana","Botswana",57,61.3295661661295,0.487213801974503,"2"
"COG","Congo",NA,NA,46.7729712066477,4.00063974423004,"1"
"CMR","Cameroon","Cameroon",88,40.2469482643866,29.44021848378,"3"
"RWA","Rwanda","Rwanda",95,38.1991815306311,9.25198934324524,"3"
"GHA","Ghana","Ghana",59,34.8106239159142,10.9801541310839,"3"
"ETH","Ethiopia","Ethiopia",91,27.7694246064417,9.62492891342686,"3"
"ZWE","Zimbabwe",NA,NA,27.3807951749433,1.01516823960234,"3"
"CAF","Central African Republic",NA,NA,26.9981321097382,0.677058513352498,"2"
"NER","Niger","Niger",89,24.1064127124208,0.162696668091213,"3"
"NGA","Nigeria","Nigeria",94,23.2886708248073,18.5285646752076,"3"
"GMB","Gambia",NA,NA,19.7416867469879,0.0494848600724857,"1"
"NAM","Namibia",NA,NA,19.1733767322273,0.26347574882259,"1"
"MLI","Mali","Mali",80,15.9693196851711,0.184859253829511,"3"
"GIN","Guinea","Guinea",97,15.0969065260162,1.06460780042252,"2"
"TZA","United Republic of Tanzania","United Republic of Tanzania",96,11.6853332362606,5.79202782116296,"3"
"KEN","Kenya","Kenya",86,11.0031592574101,4.0203415153001,"3"
"BEN","Benin","Benin",85,10.6827926297954,0.140002668357943,"2"
"MAR","Morocco","Morocco",59,7.88455704978107,6.30219084767653,"3"
NA,NA,NA,NA,NA,0,NA
"BFA","Burkina Faso","Burkina Faso",87,6.44022830391925,0.0894955826438457,"2"
"MDG","Madagascar","Madagascar",108,5.99614019474785,14.3812254579888,"2"
