"ISO3","COUNTRY","country_extra_pasture_km","country_extra_arable_fallow_km","Median_total_glob_trans","Lower_total_glob_trans","Upper_total_glob_trans","Median_total_glob_occ","Lower_total_glob_occ","Upper_total_glob_occ","Median_total_reg_trans","Lower_total_reg_trans","Upper_total_reg_trans","Median_total_reg_occ","Lower_total_reg_occ","Upper_total_reg_occ"
"ATG","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DZA","Algeria",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARM","Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGO","Angola",188.2795517613,52.6442584123935,0.052201380288212,0,0.696570364540349,0.00151259320622381,0,0.010278022787885,3.53198404633435,0,40.0708273972569,0.0814462796187735,0,0.531009153553972
"ARG","Argentina",1284.18231700229,239.311496103679,1.08608914138302,0,6.97874432172666,0.00829677558504674,0,0.0477301747440302,29.4151844798267,0,173.277856699082,0.26884710306698,0,1.47307336455364
"AUT","Austria",54.1118810568524,20.7787897542164,0.131148667246283,0,0.624870255611608,0.000332600229982593,0,0.00155979880100069,12.7421768766476,0,51.4753483181776,0.0330038600318618,0,0.131730794041889
"BRB","Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BWA","Botswana",927.488532162388,125.097346285284,0.0868327972251713,0,0.789525492825366,0.00150818582978776,0,0.00933872059033908,6.47595556449528,0,54.9325202454026,0.130560102104947,0,0.721561653446628
"BEL","Belgium",18.1608758508406,5.37532476176303,0.0158856095214054,0,0.0553933913395794,3.77207602930352e-05,0,0.000130062823411859,1.91063685389566,0,6.0759846866733,0.00458921910477198,0,0.0146884715683481
"BLZ","Belize",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOL","Bolivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEN","Benin",114.968245494099,32.1843062491968,0.0212904967981059,0,0.203118032150697,0.000711136683135459,0,0.00290374007801822,0.573641097758637,0,4.31850816770422,0.0171309059544647,0,0.0598932055984303
