"iso3n","eid","ISO3","eid_cat"
0,0,NA,"Low"
4,0.00208154741943645,"AFG","High"
8,0.000188386733498191,"ALB","Low"
12,0.00230466308749477,"DZA","High"
24,0.0016486994034608,"AGO","High"
31,0.000686435134412022,"AZE","Medium"
32,0.00338612916026282,"ARG","High"
36,0.00139914029842703,"AUS","High"
40,0.000710083117155591,"AUT","Medium"
44,4.81223014503485e-06,"BHS","Low"
50,0.0081378793111071,"BGD","High"
51,0.000206667187740095,"ARM","Low"
56,0.000499935675179586,"BEL","Medium"
64,0.000112324953079224,"BTN","Low"
68,0.000920648509932676,"BOL","Medium"
70,0.000289752333628712,"BIH","Low"
72,0.000247123088325196,"BWA","Low"
76,0.0168725579343914,"BRA","High"
84,1.87560526683228e-05,"BLZ","Low"
90,1.79086700882181e-05,"SLB","Low"
96,1.07147243397776e-05,"BRN","Low"
100,0.000690390348609071,"BGR","Medium"
104,0.00566930265549104,"MMR","High"
108,0.000483189156511799,"BDI","Medium"
112,0.000734156456928758,"BLR","Medium"
116,0.00120496870840725,"KHM","Medium"
120,0.00186162152704128,"CMR","High"
124,0.00205543067317654,"CAN","High"
140,0.000469487555619708,"CAF","Medium"
144,0.00156099593732506,"LKA","High"
148,0.000910212876704009,"TCD","Medium"
152,0.00120712070783391,"CHL","Medium"
156,0.0720826699442512,"CHN","High"
158,0.000370956147889956,"TWN","Medium"
170,0.00419804004067004,"COL","High"
178,0.000310098607144482,"COG","Low"
180,0.00603001472154574,"COD","High"
188,0.000278975651781366,"CRI","Low"
191,0.000358222769136773,"HRV","Medium"
192,0.000601598494540667,"CUB","Medium"
203,0.000758687634515809,"CZE","Medium"
204,0.000701629252944258,"BEN","Medium"
208,0.00030531374977727,"DNK","Low"
214,0.000913227093406022,"DOM","Medium"
218,0.00125797172924536,"ECU","Medium"
222,0.000485762706375681,"SLV","Medium"
226,2.96050739052589e-05,"GNQ","Low"
231,0.00572556349516162,"ETH","High"
232,0.000310355963847542,"ERI","Low"
233,4.89305384689942e-05,"EST","Low"
238,3.5542932153021e-08,"FLK","Low"
242,8.50143874231435e-06,"FJI","Low"
246,0.000328502379012718,"FIN","Medium"
250,0.00381203535255992,"FRA","High"
260,0,"ATF","Low"
262,2.0595475234586e-05,"DJI","Low"
266,0.000134172409389066,"GAB","Low"
268,0.000360530928446678,"GEO","Medium"
270,0.000230096233281074,"GMB","Low"
276,0.00492570467577025,"DEU","High"
288,0.00198446372814942,"GHA","High"
300,0.000547047040981852,"GRC","Medium"
304,1.72351403722743e-06,"GRL","Low"
320,0.00111004019436223,"GTM","Medium"
324,0.000984793436145992,"GIN","Medium"
328,7.62305731143442e-05,"GUY","Low"
332,0.0006234546599444,"HTI","Medium"
340,0.000567654987435162,"HND","Medium"
348,0.000676609088259283,"HUN","Medium"
352,1.19372697744424e-05,"ISL","Low"
356,0.0663833444949261,"IND","High"
360,0.0109823303759575,"IDN","High"
364,0.00584984021462276,"IRN","High"
368,0.00196467140767709,"IRQ","High"
372,0.000223711145736161,"IRL","Low"
376,0.000211103222682141,"ISR","Low"
380,0.00317388101757388,"ITA","High"
384,0.00188709486701555,"CIV","High"
392,0.0065817511161157,"JPN","High"
398,0.00123375171436457,"KAZ","Medium"
400,0.000276497076015403,"JOR","Low"
404,0.00295533604366938,"KEN","High"
408,0.001297597451412,"PRK","Medium"
410,0.00164664440120887,"KOR","High"
414,6.75350675010122e-05,"KWT","Low"
417,0.000708167820221206,"KGZ","Medium"
418,0.00113636146124918,"LAO","Medium"
422,0.000203081537620164,"LBN","Low"
426,0.000126810133224353,"LSO","Low"
428,0.000164032970587868,"LVA","Low"
430,0.000312495523758116,"LBR","Medium"
434,0.000392243393955383,"LBY","Medium"
440,0.000242912445173715,"LTU","Low"
450,0.00157924989389358,"MDG","High"
454,0.00114493223918544,"MWI","Medium"
458,0.0019720534300518,"MYS","High"
466,0.0011653779738765,"MLI","Medium"
478,0.000288637607813058,"MRT","Low"
484,0.00802072146962018,"MEX","High"
496,0.000245903269501468,"MNG","Low"
498,0.000285183570667868,"MDA","Low"
499,7.63077659939881e-05,"MNE","Low"
504,0.00197893902839041,"MAR","High"
508,0.00222890245618146,"MOZ","High"
512,0.000196164164712798,"OMN","Low"
516,0.000190974941744138,"NAM","Low"
524,0.00305694387134281,"NPL","High"
528,0.000839013118820731,"NLD","Medium"
540,1.39345620482345e-05,"NCL","Low"
548,6.50497753440504e-08,"VUT","Low"
554,0.000103721651061539,"NZL","Low"
558,0.000459825644156808,"NIC","Medium"
562,0.00108620660939351,"NER","Medium"
566,0.0105624892185006,"NGA","High"
578,0.000281966620207186,"NOR","Low"
586,0.00712972516328136,"PAK","High"
591,0.000303458739381313,"PAN","Low"
598,0.000405983592443704,"PNG","Medium"
600,0.00056332592112085,"PRY","Medium"
604,0.00200494466386658,"PER","High"
608,0.00301120072629146,"PHL","High"
616,0.00250158479138918,"POL","High"
620,0.00054961707246548,"PRT","Medium"
624,0.000179327224032022,"GNB","Low"
626,4.19068965129554e-05,"TLS","Low"
630,0.000249660632107407,"PRI","Low"
634,4.92239087179769e-05,"QAT","Low"
642,0.00158146472313092,"ROU","High"
643,0.0111320694180612,"RUS","High"
646,0.0010401212493889,"RWA","Medium"
682,0.00154927402665805,"SAU","High"
686,0.000514796377501625,"SEN","Medium"
688,0.000644320458377479,"SRB","Medium"
694,0.000346368087775772,"SLE","Medium"
703,0.000317655169055797,"SVK","Medium"
704,0.00348205227601284,"VNM","High"
705,0.000147584971273318,"SVN","Low"
706,0.000592683221555035,"SOM","Medium"
710,0.00407222514587247,"ZAF","High"
