ISO3,consumption_t,source,game_protein_kg_extra
AFG,8000,FAO trade balance sheets,1040000
AGO,8940,FAO trade balance sheets,1162200
ARG,50000,FAO trade balance sheets,6500000
AUT,7215,FAO trade balance sheets,937950
BEN,8000,FAO trade balance sheets,1040000
BWA,23200,FAO trade balance sheets,3016000
BFA,6400,FAO trade balance sheets,832000
CMR,66500,FAO trade balance sheets,8645000
CAF,20000,FAO trade balance sheets,2600000
TCD,4500,FAO trade balance sheets,585000
CHN,7484,FAO trade balance sheets,972920.0000000001
HKG,7400,FAO trade balance sheets,962000
COG,41000,FAO trade balance sheets,5330000
CIV,140070,FAO trade balance sheets,18209100.000000004
CYP,547,FAO trade balance sheets,71110
CZE,673,FAO trade balance sheets,87490.00000000001
COD,88937,FAO trade balance sheets,11561810
DNK,4200,FAO trade balance sheets,546000
ETH,85000,FAO trade balance sheets,11050000
GAB,25503,FAO trade balance sheets,3315390.0000000005
GMB,1280,FAO trade balance sheets,166400
DEU,83037,FAO trade balance sheets,10794810
GHA,74300,FAO trade balance sheets,9659000
GIN,5800,FAO trade balance sheets,754000
IRN,7625,FAO trade balance sheets,991250
KEN,26000,FAO trade balance sheets,3380000
LSO,5200,FAO trade balance sheets,676000
LBR,8000,FAO trade balance sheets,1040000
LTU,114,FAO trade balance sheets,14820
LUX,492,FAO trade balance sheets,63960
MDG,7200,FAO trade balance sheets,936000
MLI,23700,FAO trade balance sheets,3081000
MUS,625,FAO trade balance sheets,81250
MAR,47000,FAO trade balance sheets,6110000
NAM,6500,FAO trade balance sheets,845000
NLD,1423,FAO trade balance sheets,184990
NZL,13770,FAO trade balance sheets,1790100.0000000002
NER,27500,FAO trade balance sheets,3575000
NGA,163000,FAO trade balance sheets,21190000
NOR,7971,FAO trade balance sheets,1036230
PNG,380000,FAO trade balance sheets,49400000
PER,7700,FAO trade balance sheets,1001000
POL,3898,FAO trade balance sheets,506740
PRT,4758,FAO trade balance sheets,618540.0000000001
ROU,4091,FAO trade balance sheets,531830
RWA,13971,FAO trade balance sheets,1816230
SEN,63,FAO trade balance sheets,8189.999999999999
SLE,3052,FAO trade balance sheets,396760
SVK,678,FAO trade balance sheets,88140
ZAF,45619,FAO trade balance sheets,5930470
ESP,4348,FAO trade balance sheets,565240
SDN,9800,FAO trade balance sheets,1274000
SWE,19053,FAO trade balance sheets,2476890
CHE,5112,FAO trade balance sheets,664560.0000000001
TGO,5646,FAO trade balance sheets,733980
TUN,480,FAO trade balance sheets,62400.00000000001
GBR,5006,FAO trade balance sheets,650780
TZA,21000,FAO trade balance sheets,2730000
USA,254061,FAO trade balance sheets,33027930
URY,188,FAO trade balance sheets,24440
ZMB,38000,FAO trade balance sheets,4940000
ZWE,35000,FAO trade balance sheets,4550000
ALB,2,FAO trade balance sheets,260
BHS,16,FAO trade balance sheets,2080
BHR,1,FAO trade balance sheets,130
BEL,1836,FAO trade balance sheets,238680
BGR,22,FAO trade balance sheets,2860.0000000000005
CPV,11,FAO trade balance sheets,1430.0000000000002
TWN,84,FAO trade balance sheets,10920
FRO,5,FAO trade balance sheets,650
FIN,459,FAO trade balance sheets,59670
FRA,4944,FAO trade balance sheets,642720
GEO,50,FAO trade balance sheets,6500
GRC,315,FAO trade balance sheets,40950
IDN,15,FAO trade balance sheets,1950.0000000000002
IRL,288,FAO trade balance sheets,37440
ITA,4056,FAO trade balance sheets,527280
KAZ,40,FAO trade balance sheets,5200
MLT,7,FAO trade balance sheets,910
QAT,3,FAO trade balance sheets,390
RUS,3,FAO trade balance sheets,390
SVN,64,FAO trade balance sheets,8320
ARE,34,FAO trade balance sheets,4420
BOL,125000,Halpern et al 2019,16250000
BRA,125000,Halpern et al 2019,16250000
COL,125000,Halpern et al 2019,16250000
ECU,125000,Halpern et al 2019,16250000
GNQ,833333.3,Halpern et al 2019,108333329.00000001
GUF,125000,Halpern et al 2019,16250000
GUY,125000,Halpern et al 2019,16250000
SUR,125000,Halpern et al 2019,16250000
VEN,125000,Halpern et al 2019,16250000
