Region,Food.Group,Pasture_m2,sd_Pasture_m2,Crop_m2,sd_Crop_m2,g_protein,Pasture_m2_kg_protein,sd_Pasture_m2_kg_protein,Crop_m2_kg_protein,sd_Crop_m2_kg_protein,Product
Australia and New Zealand,Bovine Meat (Beef Herd),298.121428571429,213.527999167724,16.7533333333333,15.582218192848,200,1490.60714285714,1067.63999583862,83.7666666666667,77.9110909642401,Bovine Meat (beef herd)
Australia and New Zealand,Cheese,10.9666666666667,6.59412617410374,9.77777777777778,18.5300281825054,225,48.7407407407407,29.3072274404611,43.4567901234568,82.3556808111351,Cheese
Australia and New Zealand,Milk,1.25,0.781938981908801,1.1875,2.14171993633955,3.3,378.787878787879,236.95120663903,359.848484848485,649.006041315015,Milk
Australia and New Zealand,Mutton & Goat Meat,138.889473684211,141.016070379454,13.3304347826087,16.0974146648858,200,694.447368421052,705.080351897271,66.6521739130435,80.487073324429,Lamb & Mutton
Australia and New Zealand,Pig Meat,0,0,47,9.89949493661167,160,0,0,293.75,61.8718433538229,Pig Meat
Australia and New Zealand,Poultry Meat,0,0,22.65,0.494974746830583,175,0,0,129.428571428571,2.82842712474619,Poultry Meat
Caribbean,Pig Meat,0,NA,26.2,NA,160,0,NA,163.75,NA,Pig Meat
Central America,Bovine Meat (Dairy Herd),159,118.79393923934,0.3,0,200,795,593.9696961967,1.5,0,Bovine Meat (Dairy Herd)
Central America,Cheese,0,NA,26.5,NA,225,0,NA,117.777777777778,NA,Cheese
Central America,Milk,0,NA,3.1,NA,3.3,0,NA,939.393939393939,NA,Milk
Central America,Pig Meat,0,0,14.2,0.282842712474619,160,0,0,88.75,1.76776695296637,Pig Meat
Eastern Africa,Cheese,9.5,11.2398102000582,14,7.13722635202219,225,42.2222222222222,49.9547120002589,62.2222222222222,31.7210060089875,Cheese
Eastern Africa,Milk,1.05,1.2369316876853,1.575,0.842120339777319,3.3,318.181818181818,374.82778414706,477.272727272727,255.187981750703,Milk
Eastern Asia,Bovine Meat (Dairy Herd),0,0,16.3,2.56124969497314,200,0,0,81.5,12.8062484748657,Bovine Meat (Dairy Herd)
Eastern Asia,Cheese,238.285714285714,353.467315118588,17.93125,8.61554554279646,225,1059.04761904762,1570.9658449715,79.6944444444444,38.2913135235398,Cheese
